,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,002790.SZ,20190430,20190430,20190331,1,1,0.14,0.14,254610534.43,254610534.43,,,,,,,,,,,,,,,1546200.0,-112359.03,12265.63,,219050316.68,182078869.8,,,2708315.86,8531684.42,13437791.11,3851280.31,566639.83,,,,,,,,,,,39205823.08,,310.1,,39205512.98,4584377.8,34621135.18,34621135.18,,,34621135.18,34621135.18,,,,,,
1,002790.SZ,20190430,20190430,20190331,1,1,0.14,0.14,254610534.43,254610534.43,,,,,,,,,,,,,,,1546200.0,-112359.03,12265.63,,219050316.68,182078869.8,,,2708315.86,8531684.42,13437791.11,3851280.31,566639.83,,,,,,,,,,,39205823.08,,310.1,,39205512.98,4584377.8,34621135.18,34621135.18,,,34621135.18,34621135.18,,41930257.29,,,,
2,002790.SZ,20190423,20190423,20181231,1,1,0.63,0.63,993785232.85,993785232.85,,,,,,,,,,,,,,,-1910540.0,12237987.29,-2056.82,,828226457.51,707461732.19,,,10621450.15,39558491.16,45144132.47,-17981267.86,2400588.33,,,,,,,,,,,185760801.53,335166.92,1016435.79,,185079532.66,24033853.32,161045679.34,161045679.34,,,161045679.34,161045679.34,,,,,,
3,002790.SZ,20190423,20190423,20181231,1,1,0.63,0.63,993785232.85,993785232.85,,,,,,,,,,,,,,,-1910540.0,12237987.29,-2056.82,,828226457.51,707461732.19,,,10621450.15,39558491.16,45144132.47,-17981267.86,2400588.33,,,,,,,,,,,185760801.53,335166.92,1016435.79,,185079532.66,24033853.32,161045679.34,161045679.34,,,161045679.34,161045679.34,,156757419.15,224762730.25,,,
0,002791.SZ,20190429,20190429,20190331,1,1,0.02,0.02,801177553.29,801177553.29,,,,,,,,,,,,,,,,-141122.28,-1947190.62,,793602090.17,484436140.82,,,14346940.05,177795827.21,55059609.53,2453396.25,13173181.61,,,,,,,,,,,7666296.82,27690.53,95678.83,,7598308.52,579263.45,7019045.07,6740098.96,278946.11,781438.9,7800483.97,7805916.2,-5432.23,24020118.95,,,,
1,002791.SZ,20190419,20190419,20181231,1,1,0.54,0.54,3853480246.44,3853480246.44,,,,,,,,,,,,,,,,2700895.86,-6265333.5,,3674017265.32,2388964928.64,,,29642893.88,809647954.67,223795108.45,1582672.26,36729022.76,,,,,,,,,,,192822332.22,1460750.69,4515781.11,,189767301.8,20549346.68,169217955.12,172125959.51,-2908004.39,-219783.46,168998171.66,171906449.86,-2908278.2,194028391.63,282534998.68,,,
0,002792.SZ,20190425,20190425,20190331,1,1,-0.08,-0.08,389801585.73,389801585.73,,,,,,,,,,,,,,,-569200.0,2455643.84,,,412447979.33,288627396.24,,,2509933.97,29379882.57,31036273.16,15961823.67,8812932.35,,,,,,,,,,,-17912193.5,875736.34,1177814.77,,-18214271.93,-211394.11,-18002877.82,-18150126.74,147248.92,-326631.46,-18329509.28,-18476758.2,147248.92,,,,,
1,002792.SZ,20190425,20190425,20190331,1,1,-0.08,-0.08,389801585.73,389801585.73,,,,,,,,,,,,,,,-569200.0,2455643.84,,,412447979.33,288627396.24,,,2509933.97,29379882.57,31036273.16,15961823.67,8812932.35,,,,,,,,,,,-17912193.5,875736.34,1177814.77,,-18214271.93,-211394.11,-18002877.82,-18150126.74,147248.92,-326631.46,-18329509.28,-18476758.2,147248.92,4976118.69,,,,
2,002792.SZ,20190425,20190425,20181231,1,1,0.2,0.2,1264853046.52,1264853046.52,,,,,,,,,,,,,,,-94300.0,2441633.53,,,1236889595.55,912857062.67,,,9204696.66,115645316.71,101860686.25,-29427882.21,11193258.44,,,,,,,,,,,67440005.0,3729291.77,7378900.11,,63790396.66,12966216.0,50824180.66,44424493.27,6399687.39,-376631.46,50447549.2,44047861.81,6399687.39,36372508.0,88800941.92,,,
0,002793.SZ,20190426,20190426,20190331,1,1,0.0911,0.0815,247695364.14,247695364.14,,,,,,,,,,,,,,,992350.0,-87082.5,,,227753733.79,180103437.58,,,2132170.62,6761313.43,17339490.58,10037999.92,2423198.3,,,,,,,,,,,20963694.99,22649.09,,,20986344.08,2775579.44,18210764.64,18210764.64,,-559.11,18210205.53,18210205.53,,,,,,
1,002793.SZ,20190426,20190426,20190331,1,1,0.0911,0.0815,247695364.14,247695364.14,,,,,,,,,,,,,,,992350.0,-87082.5,,,227753733.79,180103437.58,,,2132170.62,6761313.43,17339490.58,10037999.92,2423198.3,,,,,,,,,,,20963694.99,22649.09,,,20986344.08,2775579.44,18210764.64,18210764.64,,-559.11,18210205.53,18210205.53,,32519625.71,,,,
