,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,000001.SZ,20190808,20190808,20190630,1,2,0.85,0.78,67829000000.0,67829000000.0,87111000000.0,,22555000000.0,18391000000.0,5799000000.0,39000000.0,,,,,,,,39000000.0,144000000.0,4938000000.0,,530000000.0,47792000000.0,,43472000000.0,4164000000.0,607000000.0,,19981000000.0,,,,,,,,47792000000.0,,,,,20037000000.0,39000000.0,73000000.0,,20003000000.0,4600000000.0,15403000000.0,15403000000.0,,797000000.0,16200000000.0,16200000000.0,,,,,,
1,000001.SZ,20190808,20190808,20190630,1,2,0.85,0.78,67829000000.0,67829000000.0,87111000000.0,,22555000000.0,18391000000.0,5799000000.0,39000000.0,,,,,,,,39000000.0,144000000.0,4938000000.0,,530000000.0,47792000000.0,,43472000000.0,4164000000.0,607000000.0,,19981000000.0,,,,,,,,47792000000.0,,,,,20037000000.0,39000000.0,73000000.0,,20003000000.0,4600000000.0,15403000000.0,15403000000.0,,797000000.0,16200000000.0,16200000000.0,,47241000000.0,48736000000.0,,,
0,000002.SZ,20190821,20190821,20190630,1,1,1.06,1.06,139320076841.33,139320076841.33,,,,,,,,,,,,,,,-43018253.12,1300573427.66,907438130.07,,112713105460.5,88823086295.55,,,11407073837.04,3186523909.51,5184385079.18,3227583374.38,,,,,,,,,,,,27855979909.3,309247900.37,439243665.46,,27725984144.21,8440306774.97,19285677369.24,11841752171.43,7443925197.81,767446453.01,20053123822.25,12607062409.36,7446061412.89,,,,,
1,000002.SZ,20190821,20190821,20190630,1,1,1.06,1.06,139320076841.33,139320076841.33,,,,,,,,,,,,,,,-43018253.12,1300573427.66,907438130.07,,112713105460.5,88823086295.55,,,11407073837.04,3186523909.51,5184385079.18,3227583374.38,,,,,,,,,,,,27855979909.3,309247900.37,439243665.46,,27725984144.21,8440306774.97,19285677369.24,11841752171.43,7443925197.81,767446453.01,20053123822.25,12607062409.36,7446061412.89,30289229993.13,32303943775.7,,,
0,000004.SZ,20190831,20190831,20190630,1,1,-0.0228,-0.0228,107657124.9,107657124.9,,,,,,,,,,,,,,,,16306407.81,-3627981.53,,124166777.14,25897173.15,,,1701351.7,83101037.48,10704498.75,-710970.56,,,,,,,,,,,,4179301.48,18650.2,1249463.27,,2948488.41,7514079.79,-4565591.38,-1918824.57,-2646766.81,,-4565591.38,-1918824.57,-2646766.81,,,,,
1,000004.SZ,20190831,20190831,20190630,1,1,-0.0228,-0.0228,107657124.9,107657124.9,,,,,,,,,,,,,,,,16306407.81,-3627981.53,,124166777.14,25897173.15,,,1701351.7,83101037.48,10704498.75,-710970.56,,,,,,,,,,,,4179301.48,18650.2,1249463.27,,2948488.41,7514079.79,-4565591.38,-1918824.57,-2646766.81,,-4565591.38,-1918824.57,-2646766.81,-12612346.5,-11620791.05,,,
0,000005.SZ,20190829,20190829,20190630,1,1,0.0588,0.0588,424134990.98,424134990.98,,,,,,,,,,,,,,,,-15162329.61,,,321426551.1,252130911.23,,,3483274.99,4786153.81,41150675.33,11213975.63,-1740300.77,,,,,,,,,,,87756565.41,1017962.41,149090.72,,88625437.1,24585148.69,64040288.41,62234817.52,1805470.89,2937630.81,66977919.22,65211174.44,1766744.78,,,,,
1,000005.SZ,20190829,20190829,20190630,1,1,0.0588,0.0588,424134990.98,424134990.98,,,,,,,,,,,,,,,,-15162329.61,,,321426551.1,252130911.23,,,3483274.99,4786153.81,41150675.33,11213975.63,1740300.77,,,,,,,,,,,87756565.41,1017962.41,149090.72,,88625437.1,24585148.69,64040288.41,62234817.52,1805470.89,2937630.81,66977919.22,65211174.44,1766744.78,114132870.65,119738646.1,,,
0,000006.SZ,20190816,20190816,20190630,1,1,0.1507,0.1507,953510762.07,953510762.07,,,,,,,,,,,,,,,,65398813.69,65398813.69,,758001940.48,573943234.35,,,59524051.77,13727708.68,56694801.36,56890095.77,,,,,,,,,,,,260920852.76,1104274.91,2898997.37,,259126130.3,46673265.3,212452865.0,203409521.11,9043343.89,,212452865.0,203409521.11,9043343.89,,,,,
1,000006.SZ,20190816,20190816,20190630,1,1,0.1507,0.1507,953510762.07,953510762.07,,,,,,,,,,,,,,,,65398813.69,65398813.69,,758001940.48,573943234.35,,,59524051.77,13727708.68,56694801.36,56890095.77,,,,,,,,,,,,260920852.76,1104274.91,2898997.37,,259126130.3,46673265.3,212452865.0,203409521.11,9043343.89,,212452865.0,203409521.11,9043343.89,249620965.91,275612871.36,,,
