,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,603813.SH,20190429,20190331,0.15,0.15,2.7387,2.7387,2.8589,0.2819,3.0313,84066.93,13357168.74,33713991.2,2.2725,2.2705,2.156,0.8829,0.6312,0.9295,0.3051,16216214.59,17144242.55,,5411075.7975,7443075.7975,91037703.53,513333.28,94138000.0,10965398.6,551695053.91,220829130.26,220154528.86,720602890.37,296696841.12,0.1501,6.977,0.2862,3.3132,0.1375,0.1914,0.0604,0.0831,5.4831,13.7465,86.2535,6.4951,5.4831,0.5443,5.6012,0.3496,0.0214,93.388,6.7672,6.9904,2.1786,2.17,2.1649,2.1328,1.6729,1.9879,8.7144,8.5312,22.8638,1.2964,1.3029,48.5579,51.4421,67.9299,13.0638,86.7036,93.455,6.545,0.1477,0.2964,3.3647,6.6369,2.9711,5.8605,50.3124,0.138,102.1056,6.6916,1.6721,339695639.47,6.6408,0.5443,93.388,2.1786,2.1649,1.6729,10.4519,36.3636,36.3636,435.9155,45.4194,42.8795,32.9529,52.14,440.6513,22.5266,2.5652,2.0884,2.5656,108.7884,108.7884,108.7884,-0.4513,8.5094
0,603816.SH,20190423,20190331,0.69,0.68,5.7192,5.7192,5.4306,0.728,4.967,99066565.48,196318394.02,854271075.3,1.5574,1.2354,1.0342,2.8047,0.5163,1.6932,0.2364,236771109.91,414174915.64,,-56230861.2459,142918856.7541,2675163477.76,49247704.61,2214732128.57,290874172.82,3334936107.42,1641182833.88,-13722534.99,7584656345.2,2449347467.2,0.6868,10.9475,0.5776,5.695,0.904,0.963,-0.1307,0.3323,12.1038,34.7298,65.2702,24.8711,12.1038,18.7527,5.0425,1.0759,-0.3007,90.3742,10.6673,16.838,6.0831,6.0,4.0429,3.9807,2.8615,4.3529,24.3324,15.9228,47.9107,1.9198,2.1427,44.4783,55.5217,32.3495,29.2002,66.373,59.6078,40.3922,0.0844,0.9198,1.0192,2.273,0.6752,1.5058,11.4652,0.0503,91.2489,11.446,2.839,1951969578.78,15.7621,18.7527,90.3742,6.0831,4.0429,2.8615,10.0997,6.1538,6.25,1150.2165,-6.3392,11.5864,10.0377,-0.93,1154.8514,-6.1767,8.2293,-1.8187,7.625,32.7924,32.7924,32.7924,-10.0517,17.2818
0,603817.SH,20190425,20190331,0.0683,0.0683,0.3096,0.3096,1.39,0.099,0.9602,602529.9,30110468.72,65691111.67,0.6365,0.6283,0.5511,0.564,0.2818,0.1015,0.0429,34321804.41,48896070.24,,-206729289.734,-115797195.574,419633178.03,136457332.87,1029301012.09,888455114.96,724351251.32,-268094823.33,-91058897.44,2723163461.83,476602648.39,0.0683,3.4492,0.2885,1.0591,-0.0155,0.1087,-0.4594,-0.2573,21.9878,47.1575,52.8425,19.886,21.9878,,11.7976,8.0884,,75.3615,26.8102,35.1009,1.9985,2.0,1.9593,1.5047,0.9425,1.4961,7.994,6.0188,48.3461,1.936,2.1146,14.3148,85.6852,22.0889,37.798,56.997,46.5194,53.4806,0.176,0.936,0.979,1.5079,0.4569,0.7037,0.8153,0.0819,166.8434,3.77,0.9451,1360213181.11,27.0125,,75.3615,1.9985,1.9593,0.9425,93.1872,26.4815,26.4815,306.9111,21.6137,32.0923,26.4593,18.07,167.4309,17.276,2.0202,1.8392,2.0187,57.2708,57.2708,57.2708,-33.0038,7.8304
0,603818.SH,20190430,20190331,0.02,0.02,2.0456,2.0456,0.7623,0.1827,1.2041,9792881.62,2001555.85,469439680.23,1.618,0.9223,0.7769,2.4803,0.6715,0.616,0.1383,33609483.63,67589155.26,,-111844854.7692,-132847489.6592,878539844.31,826750406.18,3697454037.75,3449524469.36,-2498520319.34,569501583.25,364551131.36,5541171077.69,681414619.98,0.024,2.8769,0.2831,1.3868,-0.0971,0.1376,-0.2276,-0.2704,2.0021,46.7051,53.2949,42.638,2.0021,25.258,14.9457,2.4342,0.3821,96.6562,4.2931,6.7245,0.8537,0.87,0.1449,0.9301,0.2769,0.5676,3.4148,3.7204,74.557,3.9304,5.2595,20.5758,79.4242,-34.4792,66.7269,25.5106,17.0565,82.9435,0.1509,2.9304,0.2616,0.3823,-0.4625,-0.6757,-0.7243,0.0257,142.6815,1.1076,0.1623,1799839873.52,4.2903,25.258,96.6562,0.8537,0.1449,0.2769,13.839,-66.6667,-66.6667,358.0675,22.448,26.0154,-57.909,-92.01,361.8025,-51.8048,4.7364,-0.5536,4.7383,154.7897,154.7897,154.7897,125.0164,-12.6656
0,603819.SH,20190427,20190331,0.06,0.06,2.0961,2.0961,3.7613,0.3142,1.5242,939243.65,6497453.88,32542177.23,2.4884,1.7913,1.2899,0.991,0.2959,2.7308,0.2096,7440617.04,14206004.13,,-41599901.1908,-78599901.1908,135232194.3,2033676.73,277000000.0,163376422.02,682530781.86,464737630.16,528114052.18,1035256096.01,222080554.44,0.0616,6.277,-0.6831,1.8384,-1.2912,0.1176,-0.3444,-0.6507,2.937,12.8522,87.1478,9.4023,2.937,2.4658,4.7265,2.21,,97.0614,2.9866,5.6105,0.9671,0.95,0.845,1.1757,0.6155,1.1527,3.8684,4.7028,35.3312,1.5463,1.5714,66.2648,33.7352,58.2105,26.7567,73.2433,75.37,24.63,-0.2643,0.5463,1.8304,2.7374,1.6476,2.464,4.1777,-0.1992,172.2949,2.462,0.6155,307449278.9,3.4005,2.4658,97.0614,0.9671,0.845,0.6155,-32.5906,50.0,50.0,-297.8451,32.653,49.2078,55.5018,38.93,-297.8604,53.6066,-2.7274,-5.7532,-2.7443,24.3327,24.3327,24.3327,-56.4608,1.2338
0,603822.SH,20190426,20190331,0.0706,0.0706,2.8355,2.8355,3.3097,0.5626,4.8607,291535.59,4886860.27,24365712.23,1.8099,0.9872,0.8913,3.5639,0.2809,0.718,0.1442,-2367854.39,8550076.32,,-9269702.06,-66080282.0,123575936.1,33417287.64,502819018.82,304940139.03,540643916.47,324218160.54,403084033.85,1285922746.04,397824483.21,0.0706,9.733,0.5856,5.4233,-0.8035,0.1166,-0.1264,-0.9008,2.703,11.7143,88.2857,10.8477,2.703,2.2054,6.8167,1.8257,1.3621,101.1384,2.1582,4.1106,0.6884,0.69,0.6496,0.5927,0.3897,0.6552,2.7536,2.3708,45.7277,1.8426,1.9177,50.2135,49.7865,37.4688,39.1018,58.702,60.6719,39.3281,0.1073,0.8426,1.1441,1.5013,0.8194,1.0752,1.773,0.0651,168.7024,1.5588,0.359,504154104.62,2.285,2.2054,101.1384,0.6884,0.6496,0.3897,20.651,-40.3716,-40.3716,650.8937,-45.3979,-45.5301,-40.3758,-38.99,650.6622,-42.1608,0.7307,0.0397,0.6908,4.6781,4.6781,4.6781,-65.0397,3.0861
0,603825.SH,20190429,20190331,-0.01,-0.01,9.2942,9.2942,2.7268,0.3308,2.7577,1497115.96,-1905003.99,230098999.89,1.2514,1.1927,1.1374,0.4864,0.3586,70.8374,0.3368,3199625.8,21104219.55,,-123527033.8465,-288036340.0065,3712187284.98,111994322.01,1159350000.0,902721895.0,1353952500.55,1224547231.32,2127269126.32,2664779147.92,710661698.24,-0.0018,6.5333,0.3775,3.0885,-0.4436,0.0917,-0.5368,-1.2518,0.0587,10.7593,89.2407,10.5436,0.0587,5.4691,4.2629,0.8116,-0.2469,99.8504,0.0933,0.9868,-0.0287,-0.03,-0.1339,0.3323,0.0198,0.2658,-0.1148,1.3292,76.8002,4.3104,4.4623,93.9455,6.0545,20.8655,43.5064,56.415,97.7527,2.2473,0.0178,3.3104,0.3017,1.2967,0.2717,1.1679,1.4999,0.0174,196.863,0.0792,-0.0064,29683311.3,0.1752,5.4691,99.8504,-0.0287,-0.1339,0.0198,4.0614,-150.0,-150.0,125.2458,-87.2138,-31.4447,-109.2869,-114.64,135.3428,-107.8753,11.9444,4.4576,11.9445,6.2025,6.2025,6.2025,-97.1569,17.9248
0,603826.SH,20190426,20190331,0.0746,0.0746,0.2897,0.2897,0.8197,0.1241,0.7824,268102.03,34651650.38,63282941.31,3.6948,1.5727,1.3679,1.1859,0.2134,0.3195,0.0899,35403866.53,43925694.9,,14273963.4455,89273963.4455,128638756.93,29154298.21,105000000.0,2136294.36,1189493484.12,454445070.39,391581364.75,1396384224.3,424250509.81,0.0746,2.7567,0.0005,0.9065,0.1253,0.0939,0.0305,0.1908,25.9716,46.6816,53.3184,19.3236,25.9716,8.6827,8.1695,2.4714,,73.8838,30.0823,32.4025,2.6991,2.63,2.6784,2.914,2.3357,2.7977,10.7964,11.656,16.9088,1.2035,1.1651,40.0909,59.9091,76.5353,7.5194,92.3911,64.1717,35.8283,0.0014,0.2035,4.9093,12.287,4.5264,11.3285,556.8022,0.0009,507.1327,9.3428,2.3165,419338805.34,29.9311,8.6827,73.8838,2.6991,2.6784,2.3357,0.1772,-4.6036,-4.6036,-99.3812,-3.9312,-3.9454,-4.5581,21.12,-99.1741,-14.4907,-0.5591,6.4038,-0.5596,14.822,14.822,14.822,-12.8776,11.6158
0,603828.SH,20190427,20190331,0.09,0.09,0.7238,0.7238,0.5611,0.0985,1.0921,545523.79,35948218.65,49569960.01,1.1284,1.1172,1.0458,0.163,0.125,0.6389,0.0849,40213509.83,48420793.28,,-284271518.8645,-312850718.8645,1295988151.44,98985294.96,762357000.0,590126179.63,819518395.8,240059283.34,641035462.97,1873018002.68,506674672.9,0.0858,2.5504,-0.3496,1.1906,-0.6823,0.1138,-0.668,-0.7351,11.828,16.092,83.908,15.4729,11.828,1.1929,12.3533,1.9267,-13.3556,86.9454,13.8564,15.719,3.3254,3.24,3.2757,1.3339,1.0038,2.1846,13.3016,5.3356,66.014,2.9424,3.3077,64.5428,35.4572,25.0771,40.7021,57.9502,86.6439,13.3561,-0.0796,1.9424,0.5031,1.4238,0.3799,1.075,1.3887,-0.069,562.5758,4.0152,1.0054,489992779.79,13.7923,1.1929,86.9454,3.3254,3.2757,1.0038,-48.2958,12.5,12.5,-25.7102,2.2664,1.7722,6.4644,9.95,-61.9987,7.6385,-2.1673,-18.1322,-2.1638,-8.0953,-8.0953,-8.0953,2410.9343,-1.0908
0,603829.SH,20190425,20190331,0.05,0.05,0.6134,0.6134,2.125,0.1141,0.9024,59520.85,8468075.35,22952635.88,2.8574,2.3633,1.8323,0.4997,0.1444,0.7664,0.1068,10293849.74,10997079.25,,-90523393.0761,-90523393.0761,164937446.65,1369568.93,65000000.0,-76851927.88,591583244.91,427086287.34,350234359.46,730604470.02,162641195.32,0.0533,4.1415,-0.3246,1.0165,-0.3891,0.0687,-0.5658,-0.5658,9.2207,23.3885,76.6115,12.4684,9.2207,2.1806,9.6466,0.6412,,89.5107,10.5438,11.2059,1.2953,1.3,1.2862,1.1966,0.9846,1.3219,5.1812,4.7864,25.7893,1.3475,1.396,73.254,26.746,65.9578,8.8967,90.6968,99.4079,0.5921,-0.2259,0.3475,2.8647,10.1944,2.5576,9.1013,,-0.2246,299.14,3.9384,0.9279,130634856.51,10.5647,2.1806,89.5107,1.2953,1.2862,0.9846,-52.9293,25.0,25.0,-35.0811,20.9866,22.3768,23.8057,90.66,-35.1213,15.2749,1.3038,-4.7058,1.3037,-1.2527,-1.2527,-1.2527,-66.2394,7.4004
