,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,im_n_incr_cash_equ
0,000001.SZ,20191022,20191022,20190930,2,1,,,,,203792000000.0,,,,,,,148245000000.0,,827000000.0,,48915000000.0,463657000000.0,,14522000000.0,18312000000.0,188571000000.0,,,60463000000.0,,22163000000.0,379177000000.0,84480000000.0,,332361000000.0,22673000000.0,87000000.0,,355121000000.0,1878000000.0,432052000000.0,,,,433930000000.0,-78809000000.0,,300671000000.0,,300671000000.0,,306481000000.0,3364000000.0,,,311198000000.0,-10527000000.0,1811000000.0,-3045000000.0,161801000000.0,158756000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,000002.SZ,20191025,20191025,20190930,1,1,,,302423765750.81,,,,,,,,,,,,,41185829272.29,343609595023.1,238964103716.34,13439744600.76,52164733149.99,,,,,,37306601299.77,341875182766.86,1734412256.24,13638579347.09,3248783360.02,2783572902.54,60137721.34,1531375390.76,21262448721.75,3461193202.26,23196769855.18,5564847195.61,1062153128.54,,33284963381.59,-12022514659.84,37749123676.7,,6454848475.48,52927992234.93,-18797942384.4293,74093792122.83,28292416806.64,6556103474.76,11679523200.24,122802761607.79,-69874769372.86,556501058.14,-79606370718.32,175668163538.65,96061792820.33,8724020082.75,2055719171.37,,,,,,,,,,,,,,,,,,,,,,,,,,
0,000004.SZ,20191031,20191031,20190930,1,1,,,108111982.74,,,,,,,,,,,,,10505911.3,118617894.04,20573748.08,8743628.08,24504302.5,,,,,,74663055.8,128484734.46,-9866840.42,,,,,36091950.0,36091950.0,4498290.96,,,50000000.0,,54498290.96,-18406340.96,,,,,,,,,,,0.0,,-28273181.38,49003296.32,20730114.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,000004.SZ,20191031,20191031,20190930,1,1,,,108111982.74,,,,,,,,,,,,,10505911.3,118617894.04,20573748.08,8743628.08,24504302.5,,,,,,74663055.8,128484734.46,-9866840.42,,,,,36091950.0,36091950.0,4498290.96,,,50000000.0,,54498290.96,-18406340.96,,,,,6514282.34,,,,,,0.0,,-28273181.38,49003296.32,20730114.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,000005.SZ,20191030,20191030,20190930,1,1,,,460934217.73,638105.65,,,,,,,,,,,,194383488.34,655955811.72,293047532.23,39440084.07,22088745.97,,,,,,173221843.56,527798205.83,128157605.89,,,,120000000.0,,120000000.0,3363073.04,,,,,3363073.04,116636926.96,351000000.0,,,351000000.0,113792754.8029,572161752.72,25803640.18,,,597965392.9,-246965392.9,,-2170860.05,37796208.01,35625347.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,000005.SZ,20191030,20191030,20190930,1,1,,,460934217.73,638105.65,,,,,,,,,,,,194383488.34,655955811.72,293047532.23,39440084.07,22088745.97,,,,,,173221843.56,527798205.83,128157605.89,,,,120000000.0,,120000000.0,3363073.04,,,,,3363073.04,116636926.96,351000000.0,,,351000000.0,,572161752.72,25803640.18,,,597965392.9,-246965392.9,,-2170860.05,37796208.01,35625347.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,000006.SZ,20191030,20191030,20190930,1,1,,,3229573047.95,,,,,,,,,,,,,3618358907.98,6847931955.93,1797375931.3,114333872.05,686865970.72,,,,,,3774812673.88,6373388447.95,474543507.98,,190000000.0,1218142.47,50600.0,,191268742.47,7159666.97,380000000.0,97764310.8,,,484923977.77,-293655235.3,1090000000.0,399280000.0,,1489280000.0,,738756603.97,389184720.97,,168440.85,1128109765.79,361170234.21,124363.18,542182870.07,3590293078.4,4132475948.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,000006.SZ,20191030,20191030,20190930,1,1,,,3229573047.95,,,,,,,,,,,,,3618358907.98,6847931955.93,1797375931.3,114333872.05,686865970.72,,,,,,3774812673.88,6373388447.95,474543507.98,,190000000.0,1218142.47,50600.0,,191268742.47,7159666.97,380000000.0,97764310.8,,,484923977.77,-293655235.3,1090000000.0,399280000.0,,1489280000.0,251385359.9932,738756603.97,389184720.97,,168440.85,1128109765.79,361170234.21,124363.18,542182870.07,3590293078.4,4132475948.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,000007.SZ,20191031,20191031,20190930,1,1,,,31813336.81,,,,,,,,,,,,,14158742.49,45972079.3,4516586.11,11838780.95,2300213.38,,,,,,48847744.46,67503324.9,-21531245.6,484369.97,23856626.53,1140328.83,,,25481325.33,5970.0,,,,,5970.0,25475355.33,,,,,33367210.13,,,,,,,,3944109.73,6618212.69,10562322.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,000007.SZ,20191031,20191031,20190930,1,1,,,31813336.81,,,,,,,,,,,,,14158742.49,45972079.3,4516586.11,11838780.95,2300213.38,,,,,,48847744.46,67503324.9,-21531245.6,484369.97,23856626.53,1140328.83,,,25481325.33,5970.0,,,,,5970.0,25475355.33,,,,,,,,,,,,,3944109.73,6618212.69,10562322.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,
