,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit
0,000001.SZ,20191022,20191022,20190930,1,2,1.32,1.32,102958000000.0,102958000000.0,131813000000.0,,34534000000.0,27831000000.0,8858000000.0,66000000.0,,,,,,,,66000000.0,-183000000.0,7717000000.0,,1098000000.0,72245000000.0,,65544000000.0,6703000000.0,952000000.0,,30297000000.0,,417000000.0,,,,,,72245000000.0,,,,,30713000000.0,62000000.0,99000000.0,,30676000000.0,7055000000.0,23621000000.0,23621000000.0,,1189000000.0,24810000000.0,24810000000.0,,,,,,
0,000002.SZ,20191025,20191025,20190930,1,1,1.631,1.631,223914757487.12,223914757487.12,,,,,,,,,,,,,,,-93008435.7,1932758383.96,1099584313.93,,183770288164.14,143327135634.62,,,19740563969.16,5313612259.04,7884735071.1,4825228689.24,-1648756785.74,,,,,,,,,,,41960924164.13,495901424.87,632032354.12,,41824793234.88,13234376227.09,28590417007.79,18240745065.0,10349671942.79,924764493.26,29515181501.05,19133021708.63,10382159792.42,47111491822.03,,,,
0,000004.SZ,20191031,20191031,20190930,1,1,-0.1184,-0.1184,108175712.46,108175712.46,,,,,,,,,,,,,,,,10641275.07,-9293114.27,,127854033.14,26489746.26,,,1714471.06,83101037.48,13850810.58,-844294.69,,,,,,,,,,,,-4654499.7,57384.87,1249463.27,,-5846578.1,7201226.92,-13047805.02,-9941144.51,-3106660.51,,-13047805.02,-9941144.51,-3106660.51,,,,,
1,000004.SZ,20191031,20191031,20190930,1,1,-0.1184,-0.1184,108175712.46,108175712.46,,,,,,,,,,,,,,,,10641275.07,-9293114.27,,127854033.14,26489746.26,,,1714471.06,83101037.48,13850810.58,-844294.69,,,,,,,,,,,,-4654499.7,57384.87,1249463.27,,-5846578.1,7201226.92,-13047805.02,-9941144.51,-3106660.51,,-13047805.02,-9941144.51,-3106660.51,-15914339.07,,,,
0,000005.SZ,20191030,20191030,20190930,1,1,0.0421,0.0421,569474563.65,569474563.65,,,,,,,,,,,,,,,,-16830027.78,,,483739867.97,377209331.64,,,4132288.74,7495482.12,56082155.16,18568033.55,-2792002.38,,,,,,,,,,,69176773.03,3001138.8,189285.25,,71988626.58,24604699.88,47383926.7,44549968.73,2833957.97,,47383926.7,44549968.73,2833957.97,,,,,
1,000005.SZ,20191030,20191030,20190930,1,1,0.0421,0.0421,569474563.65,569474563.65,,,,,,,,,,,,,,,,-16830027.78,,,483739867.97,377209331.64,,,4132288.74,7495482.12,56082155.16,18568033.55,-2792002.38,,,,,,,,,,,69176773.03,3001138.8,189285.25,,71988626.58,24604699.88,47383926.7,44549968.73,2833957.97,,47383926.7,44549968.73,2833957.97,107366836.74,,,,
0,000006.SZ,20191030,20191030,20190930,1,1,0.3347,0.3347,1963440046.69,1963440046.69,,,,,,,,,,,,,,,,76506049.35,76506049.35,,1442833992.48,1161529200.87,,,98876739.37,26260430.55,87128039.94,77868202.58,,,,,,,,,,,,597125321.04,1861848.22,8028515.82,,590958653.44,129302274.8,461656378.64,451836067.36,9820311.28,,461656378.64,451836067.36,9820311.28,,,,,
1,000006.SZ,20191030,20191030,20190930,1,1,0.3347,0.3347,1963440046.69,1963440046.69,,,,,,,,,,,,,,,,76506049.35,76506049.35,,1442833992.48,1161529200.87,,,98876739.37,26260430.55,87128039.94,77868202.58,,,,,,,,,,,,597125321.04,1861848.22,8028515.82,,590958653.44,129302274.8,461656378.64,451836067.36,9820311.28,,461656378.64,451836067.36,9820311.28,589645635.96,,,,
0,000007.SZ,20191031,20191031,20190930,1,1,-0.0269,-0.0269,31074355.83,31074355.83,,,,,,,,,,,,,,,19393360.35,-6353739.68,7081856.94,,26304366.94,9528518.38,,,755504.88,,16723164.35,-7724.86,,,,,,,,,,,,17863589.67,119180.26,21661151.89,,-3678381.96,5674847.0,-9353228.96,-9310041.3,-43187.66,,-9353228.96,-9310041.3,-43187.66,,,,,
1,000007.SZ,20191031,20191031,20190930,1,1,-0.0269,-0.0269,31074355.83,31074355.83,,,,,,,,,,,,,,,19393360.35,-6353739.68,7081856.94,,26304366.94,9528518.38,,,755504.88,,16723164.35,-7724.86,,,,,,,,,,,,17863589.67,119180.26,21661151.89,,-3678381.96,5674847.0,-9353228.96,-9310041.3,-43187.66,,-9353228.96,-9310041.3,-43187.66,4121148.33,,,,
