,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,im_n_incr_cash_equ
0,300010.SZ,20190829,20190829,20190630,1,1,27795938.68,38890346.27,820536214.4,2862315.38,,,,,,,,,,,,171830541.02,995229070.8,470261349.27,219600944.02,95416671.17,,,,,,255282979.99,1040561944.45,-45332873.65,,30992018.36,4465594.02,300.0,,35457912.38,4921338.43,60650370.0,562625000.0,,,628196708.43,-592738796.05,1089971441.21,,204825000.0,1295096441.21,-287799537.31,593837298.87,37505264.28,,51539517.1,682882080.25,612214360.96,-24135.35,-25881444.09,334780008.58,308898564.49,300000.0,300000.0,,-15893024.13,12800760.59,11985702.9,7973563.25,,,-286699.76,,,-13467605.35,-19440562.26,-654961.64,79282672.68,-38457970.54,-135861034.34,,-45332873.65,,,,308898564.49,334780008.58,,,-25881444.09
1,300010.SZ,20190829,20190829,20190630,1,1,27795938.68,38890346.27,820536214.4,2862315.38,,,,,,,,,,,,171830541.02,995229070.8,470261349.27,219600944.02,95416671.17,,,,,,255282979.99,1040561944.45,-45332873.65,,30992018.36,4465594.02,300.0,,35457912.38,4921338.43,60650370.0,562625000.0,,,628196708.43,-592738796.05,1089971441.21,,204825000.0,1295096441.21,,593837298.87,37505264.28,,51539517.1,682882080.25,612214360.96,-24135.35,-25881444.09,334780008.58,308898564.49,300000.0,300000.0,,-15893024.13,12800760.59,11985702.9,7973563.25,,,-286699.76,,,-13467605.35,-19440562.26,-654961.64,79282672.68,-38457970.54,-135861034.34,,-45332873.65,,,,308898564.49,334780008.58,,,-25881444.09
0,300011.SZ,20190830,20190830,20190630,1,1,30992427.93,32194627.56,719350560.11,7538344.08,,,,,,,,,,,,56178847.86,783067752.05,478979130.7,170471811.46,70354883.76,,,,,,114804717.6,834610543.52,-51542791.47,,10382168.74,,102520.0,,10484688.74,16324629.92,,,,,16324629.92,-5839941.18,485962420.93,,12028179.2,497990600.13,,461584567.79,19739017.12,,25244493.94,506568078.85,-8577478.72,-21565.28,-65981776.65,128681762.65,62699986.0,,,,8150270.15,16282254.91,15612628.19,1235333.1,,,268019.82,,,-4210446.49,-1042421.54,-1645412.16,-11038830.16,-30028592.37,-108312650.41,,-51542791.47,,,,62699986.0,128681762.65,,,-65981776.65
1,300011.SZ,20190830,20190830,20190630,1,1,30992427.93,32194627.56,719350560.11,7538344.08,,,,,,,,,,,,56178847.86,783067752.05,478979130.7,170471811.46,70354883.76,,,,,,114804717.6,834610543.52,-51542791.47,,10382168.74,,102520.0,,10484688.74,16324629.92,,,,,16324629.92,-5839941.18,485962420.93,,12028179.2,497990600.13,-124306552.6261,461584567.79,19739017.12,,25244493.94,506568078.85,-8577478.72,-21565.28,-65981776.65,128681762.65,62699986.0,,,,8150270.15,16282254.91,15612628.19,1235333.1,,,268019.82,,,-4210446.49,-1042421.54,-1645412.16,-11038830.16,-30028592.37,-108312650.41,,-51542791.47,,,,62699986.0,128681762.65,,,-65981776.65
0,300012.SZ,20190816,20190816,20190630,1,1,164271341.11,7199399.68,1245966070.29,5673062.05,,,,,,,,,,,,69969305.6,1321608437.94,356639821.67,600553144.72,50105260.56,,,,,,199538485.88,1206836712.83,114771725.11,914942077.59,0.0,440000.0,40192.62,350000.0,915772270.21,209211034.62,10000.0,16773674.43,794818248.08,,1020812957.13,-105040686.92,52000000.0,,0.0,53230000.0,-92425102.7594,507910945.35,68485008.2,,42814.09,576438767.64,-523208767.64,-41398.04,-513519127.49,740371631.78,226852504.29,1230000.0,,,16532949.54,117594700.56,3655701.67,26352572.8,,,,-573876.06,,7106244.42,-11003625.25,14701215.01,-15127434.52,-173382701.92,-42554761.93,,114771725.11,,,,226852504.29,740371631.78,,,-513519127.49
1,300012.SZ,20190816,20190816,20190630,1,1,164271341.11,7199399.68,1245966070.29,5673062.05,,,,,,,,,,,,69969305.6,1321608437.94,356639821.67,600553144.72,50105260.56,,,,,,199538485.88,1206836712.83,114771725.11,914942077.59,0.0,440000.0,40192.62,350000.0,915772270.21,209211034.62,10000.0,16773674.43,794818248.08,,1020812957.13,-105040686.92,52000000.0,,0.0,53230000.0,,507910945.35,68485008.2,,42814.09,576438767.64,-523208767.64,-41398.04,-513519127.49,740371631.78,226852504.29,1230000.0,,,16532949.54,117594700.56,3655701.67,26352572.8,,,,-573876.06,,7106244.42,-11003625.25,14701215.01,-15127434.52,-173382701.92,-42554761.93,,114771725.11,,,,226852504.29,740371631.78,,,-513519127.49
0,300013.SZ,20190731,20190731,20190630,1,1,30713911.88,25865830.14,428554238.31,6182120.75,,,,,,,,,,,,69089549.68,503825908.74,253130721.0,156339919.88,35404750.98,,,,,,125432888.51,570308280.37,-66482371.63,,,95225.0,74460.0,,169685.0,48988619.16,2180000.0,,,,51168619.16,-50998934.16,319564629.41,,,319564629.41,-101667331.2451,252468108.39,23874517.43,,,276342625.82,43222003.59,174625.1,-74084677.1,141228669.51,67143992.41,,,,-2311744.68,19356940.8,11050744.0,8289399.72,,,-308023.56,5163.64,,-6976139.03,-106359.62,-456212.32,-8117357.65,-279956671.12,136468146.17,,-66482371.63,,,,67143992.41,141228669.51,,,-74084677.1
0,300014.SZ,20190816,20190816,20190630,1,1,509254187.29,57211382.6,1979068653.36,67756350.52,,,,,,,,,,,,238021813.54,2284846817.42,1104887185.66,419764185.85,41021917.61,,,,,,238160236.51,1803833525.63,481013291.79,,,428804644.5,4607625.94,,433412270.44,926947375.23,21500000.0,,1549000000.0,,2497447375.23,-2064035104.79,513060000.0,,179990000.0,3161249996.05,-479866992.17,751693098.23,48109270.89,,442218355.35,1242020724.47,1919229271.58,5740534.18,341947992.76,969273142.32,1311221135.08,2468199996.05,,,92290069.11,103295038.67,16732313.13,7764204.66,,,671500.23,1393610.27,,-367871074.49,-6346200.53,-18678517.58,54535840.61,-149250113.18,180011051.0,,481013291.79,,,,1311221135.08,969273142.32,,,341947992.76
0,300015.SZ,20190823,20190823,20190630,1,1,731087164.89,28377488.72,4553164927.44,,,,,,,,,,,,,86517365.1,4639682292.54,1427882234.33,1224476924.44,243685053.28,,,,,,746213189.99,3642257402.04,997424890.5,,874577556.45,59425943.01,1055087.08,,935058586.54,346959007.92,1005663387.68,462276401.0,,,1814898796.6,-879840210.06,1141382165.59,,836381.52,1200763347.11,,352363500.74,547429505.6,73970688.0,2250250.38,902043256.72,298720090.39,608763.18,416913534.01,1095955744.63,1512869278.64,58544800.0,58544800.0,,80705113.15,160983178.08,9910150.26,93627103.27,,,-31231.2,,4837574.61,-59864712.86,-16975364.25,5821244.4,-31225636.21,-360554612.11,349264065.75,1463364.0,997424890.5,,,,1512869278.64,1095955744.63,,,416913534.01
1,300015.SZ,20190823,20190823,20190630,1,1,731087164.89,28377488.72,4553164927.44,,,,,,,,,,,,,86517365.1,4639682292.54,1427882234.33,1224476924.44,243685053.28,,,,,,746213189.99,3642257402.04,997424890.5,,874577556.45,59425943.01,1055087.08,,935058586.54,346959007.92,1005663387.68,462276401.0,,,1814898796.6,-879840210.06,1141382165.59,,836381.52,1200763347.11,210428201.8173,352363500.74,547429505.6,73970688.0,2250250.38,902043256.72,298720090.39,608763.18,416913534.01,1095955744.63,1512869278.64,58544800.0,58544800.0,,80705113.15,160983178.08,9910150.26,93627103.27,,,-31231.2,,4837574.61,-59864712.86,-16975364.25,5821244.4,-31225636.21,-360554612.11,349264065.75,1463364.0,997424890.5,,,,1512869278.64,1095955744.63,,,416913534.01
