,ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
0,000001.SZ,20191022,20190930,1.32,1.32,5.3055,5.3055,4.1645,0.5555,5.9411,94000000.0,23527000000.0,,,,,,,,0.0289,21921000000.0,,,,,,,,,,,,,126074000000.0,1.2172,13.8163,4.35,6.4967,-0.1569,,,,22.9424,,,,22.9424,,29.4266,,0.405,,29.8306,,8.9454,9.71,8.9098,,0.6629,,11.9272,,92.2304,12.8707,13.4938,,,,,,,,,11.8706,0.0842,,,,,0.0247,,0.8839,0.6629,10798000000.0,29.7947,,,3.0176,3.015,0.2252,165.2424,15.7895,15.7895,759.0909,15.4017,15.4709,15.4722,15.6,846.9496,-5.7091,7.8,8.4564,20.0094,18.8013,18.8013,19.393,2.9508,22.4639
0,000002.SZ,20191025,20190930,1.631,1.631,19.8117,19.8117,1.0557,4.1933,8.6845,65182506.62,18175562558.38,80587621852.5,1.1297,0.4145,0.2983,127.3092,0.1688,18.7016,0.1414,40144469322.98,46650021924.12,,-18797942384.4293,-55142610830.5593,1139468675554.03,23812438965.45,230630207488.19,123389961486.76,134426767853.14,155885485349.63,111475828542.25,475482102788.44,145546949213.13,1.6139,14.8002,0.1535,12.8778,-7.0435,4.1275,-1.6632,-4.879,12.7684,35.9903,64.0097,8.2892,12.7684,2.3731,3.7612,2.1549,-0.7363,82.0715,18.7397,20.8338,11.2933,11.16,11.2529,2.9457,1.8053,6.5551,15.0577,3.9276,85.0587,6.6929,9.8049,82.8786,17.1214,8.2029,48.5045,35.1798,86.2536,13.7464,0.0014,5.6929,0.12,0.7253,0.0964,0.5829,1.0894,0.0012,1518.9747,2.4071,1.1518,89751401640.35,18.6789,2.5144,83.9972,3.8984,3.9148,0.5787,-8.4151,28.7293,28.7293,106.5854,32.5607,32.0973,30.4349,30.32,106.7405,9.1687,4.8901,7.2083,7.3892,27.2083,27.2083,20.7674,-35.8004,19.4801
0,000004.SZ,20191031,20190930,-0.1184,-0.1184,1.2882,1.2882,0.0111,0.1318,0.0413,10227456.66,-20168601.17,81685966.2,7.8425,7.8425,3.4957,4.636,0.5513,113.4798,0.4496,-19678320.68,-6690872.79,,6514282.34,6514282.34,11591551.14,800000.0,0.0,-20730114.94,94292911.11,79315273.04,58585158.1,117586729.05,14535635.31,-0.1184,1.1824,-0.1175,0.1731,-0.3367,-0.0797,0.0776,0.0776,-12.0617,75.5123,24.4877,91.9098,-12.0617,76.8204,15.8699,-0.7805,,118.1911,-4.3027,-6.1852,-9.5345,-9.53,-19.3436,-2.7812,-5.4235,-7.2173,-12.7127,-3.7083,9.5336,1.1054,2.3074,69.94,30.06,72.5451,0.0,84.4437,93.544,6.456,-0.8512,0.1054,8.0131,,7.6095,,,-0.7963,58.2399,-7.2313,-4.1322,1357850.18,-5.4047,0.0,711.019,-7.7656,-7.7799,-6.098,-1927.9784,-283.1715,-283.1715,-305.1724,6.0432,14.942,-283.5688,-493.66,-305.7811,-390.8682,-9.1021,-62.9879,-9.1006,-57.7733,-57.7733,-99.49,30.663,-21.8591
0,000005.SZ,20191030,20190930,0.0421,0.0421,0.538,0.538,0.6502,0.1413,-0.2385,97667648.8,-53117680.07,192265232.01,1.2784,0.9487,0.8745,1.6717,0.3182,19.4715,0.1841,85734695.68,90556660.13,,113792754.8029,-107368997.9171,1035762724.77,7662207.37,391154296.24,297661380.28,1193406133.28,397213934.81,694875315.09,2020773337.99,-102928118.77,0.0421,1.4517,0.1211,-0.0972,-0.0021,0.0855,0.1075,-0.1014,8.3206,33.7619,66.2381,17.4909,8.3206,1.3162,12.9141,3.2606,-0.4903,84.9449,12.1475,15.9018,2.9445,2.7,-3.5108,2.928,1.5321,2.8432,3.926,3.904,46.8174,1.8803,2.0442,59.5304,40.4696,38.9468,19.3567,76.0466,99.4659,0.5341,0.0898,0.8803,1.0712,3.9287,0.8319,3.051,4.0093,0.0893,501.3058,2.0428,1.4404,60601941.32,12.6412,1.8641,109.2839,-0.919,-1.2699,-0.4401,18.7107,579.0323,579.0323,482.0189,544.0436,469.7762,582.0314,-1045.17,482.0808,489.8561,3.1843,-1.8333,3.1875,48.6879,48.6879,33.0826,-114.3599,15.6267
0,000006.SZ,20191030,20190930,0.3347,0.3347,1.4544,1.4544,0.3588,1.0992,2.2727,305363.54,451530703.82,801910845.82,2.161,0.9051,0.7878,262.7044,0.1733,203.2224,0.1353,520606054.21,668826856.02,,251385359.9932,1001908756.0232,4981445822.43,1704680.19,3796967272.25,-578790693.39,5925527667.1,6573072923.4,2877314957.76,10505934272.66,4551939572.18,0.3347,4.7306,0.3515,3.3718,0.4016,0.4954,0.1862,0.7422,23.5126,40.8421,59.1579,9.7409,23.5126,1.3375,4.4375,3.9659,,73.485,30.4122,34.064,7.1812,7.13,7.1763,4.6085,3.181,5.2411,9.5749,6.1447,56.6858,2.3087,2.3066,78.988,21.012,38.2562,36.1412,60.7871,64.4803,35.5197,0.0838,1.3087,0.7274,1.6819,0.6749,1.5606,,0.054,1575.3718,4.2413,3.1133,1142362998.21,30.0981,1.241,67.8099,3.9672,3.9832,1.6049,-19.9548,-10.22,-10.22,-30.4786,-6.4924,-7.6562,-10.2146,-9.95,-30.4785,-18.082,3.043,14.4227,3.0429,23.1852,23.1852,87.6123,163.6935,9.604
0,000007.SZ,20191031,20190930,-0.0269,-0.0269,0.0897,0.0897,0.4532,0.026,-0.9556,-17080088.52,7770047.22,21545837.45,2.4186,2.4158,1.4837,88.0079,0.2772,0.4751,0.0836,4769988.89,-3686106.82,,33367210.13,33367210.13,40867746.29,131575872.92,0.0,-10656881.32,174822508.33,57974747.85,47317866.53,184873651.1,-322070015.61,-0.0269,0.5236,-0.0621,-0.9296,0.0114,-0.0106,0.0963,0.0963,-30.0995,69.3364,30.6636,53.7917,-30.0995,,53.8166,-0.0249,,84.6498,57.4866,-11.8622,-5.0039,-5.0,4.1762,-0.9922,-2.5176,-4.9448,-6.6719,-1.3229,48.2606,1.9328,1.9968,27.6624,72.3376,48.9264,0.0,98.1223,23.6992,76.3008,-0.5269,0.9328,1.052,,1.0138,,,-0.1249,6.202,-3.3568,-2.506,99193353.33,-11.8374,,89.0172,-2.8287,-0.299,-1.3867,-368.1645,-7.6,-7.6,-248.8764,251.4559,72.0585,-7.4983,-14.46,-249.8913,-124.1578,-4.8865,-7.3612,-4.8817,-3.6799,-3.6799,1.8431,-69.8994,-52.0435
0,000008.SZ,20191022,20190930,0.0543,0.0543,0.561,0.561,0.9965,0.0168,0.6438,20995534.25,127433296.13,831554015.94,1.8559,1.5666,1.3864,0.5076,0.2785,4.3939,0.1481,121147749.42,269664460.89,,-449080714.8552,23699056.8148,1950582451.59,46094751.78,1301894696.0,777045757.37,3230264771.98,2569527767.53,3096086524.9,8603183893.09,1837040483.92,0.0534,2.5914,-0.0688,0.6606,-0.2093,0.097,-0.1615,0.0085,10.1086,53.3046,46.6954,43.5368,10.1086,11.5508,27.6315,4.3545,,92.2341,12.5631,17.2861,2.0446,1.74,1.7554,2.5602,1.4971,2.4667,2.7261,3.4136,31.119,1.4518,1.4509,52.5622,47.4378,30.4746,15.1327,83.7607,91.0088,8.9912,-0.0637,0.4518,2.1846,5.5351,0.9793,2.4812,4.1571,-0.058,821.273,1.9961,1.4092,39340639.47,12.9316,10.47,86.9657,1.1356,0.9891,0.8345,6.0096,23.6902,23.6902,78.3102,14.1168,15.0359,20.126,10.5,78.5853,18.4091,-1.4602,1.2755,-1.4623,20.976,20.976,12.1313,56.0866,1.45
0,000009.SZ,20191026,20190930,0.0778,0.0778,3.4091,3.3947,0.1567,0.1008,0.8282,37998487.8,162689681.77,3150549545.94,1.5781,0.8332,0.7322,3.4144,0.4356,2.0909,0.2915,762189287.19,1224922819.75,,-46263690.3599,644097582.7101,6912062633.42,1412470178.73,11554971979.17,6496947211.68,3094122239.01,7414364786.21,8270108515.39,22163324389.36,2396197607.88,0.0778,2.0894,0.5394,0.929,0.1012,0.4749,-0.0179,0.2497,6.5599,35.9834,64.0166,23.1463,6.5322,9.8095,9.3019,3.9369,-0.3856,91.3317,9.8725,13.931,3.7654,3.77,3.0525,4.0602,1.9038,3.6837,5.0205,5.4136,65.2047,2.874,5.6604,66.3877,33.6123,10.1487,52.1356,24.3148,64.5179,35.4821,0.1085,1.8739,0.2711,0.4664,0.1556,0.2678,0.4762,0.07,539.435,2.5384,0.6652,5920884562.28,9.994,10.7844,91.2297,1.1669,0.7342,0.6401,23.5921,103.6649,103.6649,-43.6187,148.3833,133.2823,103.5189,83.31,-32.3383,92.1682,-14.7949,2.1376,2.2461,31.4821,31.6775,23.9046,10.9937,5.9067
0,000010.SZ,20191031,20190930,0.0533,0.0533,1.3216,1.3216,1.7975,0.0105,-2.2697,27480928.6,16182042.07,264393086.06,1.027,0.561,0.4978,1.0804,0.3508,15.8972,0.2875,123100835.09,227608196.87,,14063237.6982,167608444.3682,3093971573.0,13169166.37,433463924.6,251137525.57,168532132.85,93496743.27,282634268.84,1155614142.72,-1852228365.79,0.0533,0.5383,-0.1162,-2.2592,0.0375,0.2776,0.0172,0.2044,10.2566,24.4019,75.5981,12.5595,10.2566,0.4117,6.2399,5.908,-0.139,88.6385,15.2284,21.0069,10.1465,9.9,3.7604,6.0405,2.9493,15.1274,13.5287,8.054,83.0591,5.9029,8.7562,83.489,16.511,3.9536,37.5094,38.1889,97.8769,2.1231,-0.0275,4.9029,0.1246,1.0181,0.0476,0.3888,0.6711,-0.0269,719.391,3.9324,1.1588,93421777.21,15.0989,0.2578,85.2897,7.6775,5.955,1.7318,2.2163,151.3983,151.3983,-34.8028,186.7605,187.4553,122.7452,108.32,-34.8175,149.6993,5.2395,30.2289,5.2421,478.3182,478.3182,665.0224,96.7045,-54.2343
0,000011.SZ,20191031,20190930,0.1729,0.1729,1.6812,1.6812,0.1996,0.5027,3.7745,477890.48,102581697.47,469769888.25,1.9412,1.0964,1.0416,11.7949,0.142,24.2685,0.1229,103173080.9,206896823.34,,-2079943499.9274,-2079943499.9274,4843081972.05,53131962.56,2194000000.0,-1333406949.17,2708817482.43,4558357464.8,1030950515.63,5587560662.23,2549084141.79,0.1729,5.4718,0.8965,4.2771,0.2308,0.3472,-3.49,-3.49,4.6063,46.8854,53.1146,22.879,4.6063,4.3398,8.5654,9.9738,-0.2651,89.7028,10.6119,20.6494,3.1235,3.13,3.109,2.538,0.5662,1.9994,4.1647,3.384,67.6304,3.0893,2.4707,89.6761,10.3239,25.8382,39.2658,58.3628,68.3066,31.6934,0.1103,2.0893,0.4599,1.4864,0.3821,1.2346,,0.0754,1360.8496,0.7549,1.2642,433044303.0,10.6755,10.2163,109.3901,-0.0211,-0.0339,-0.2974,403.2333,-28.5242,-28.5242,968.534,-43.719,-43.4436,-28.5245,-28.73,968.9461,-36.7616,-2.3032,80.1273,-2.3035,-16.4346,-16.4346,-34.0724,-189.6401,13.0255
