,ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,im_n_incr_cash_equ
0,000001.SZ,20190424,20190424,20190331,2,1,,,,,69010000000.0,,,,,,,50004000000.0,,2613000000.0,,1790000000.0,187791000000.0,,7595000000.0,5347000000.0,65841000000.0,,,17111000000.0,,5428000000.0,134607000000.0,53184000000.0,,105313000000.0,7500000000.0,238000000.0,,113051000000.0,409000000.0,144432000000.0,,,,144841000000.0,-31790000000.0,,78154000000.0,,78154000000.0,,58357000000.0,874000000.0,,,59231000000.0,18923000000.0,-1155000000.0,39162000000.0,161801000000.0,200963000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,000002.SZ,20190430,20190430,20190331,1,1,,,79002977074.59,,,,,,,,,,,,,26698563447.49,105701540522.08,69006246621.4,5522606519.86,18188301169.96,,,,,,39696989752.26,132414144063.48,,12323545023.26,533092800.0,446545747.05,6931455.79,497537064.47,13807652090.57,1609177975.72,1769849123.12,3738495087.96,709965734.11,,7827487920.91,5980164169.66,7082673295.15,6029268782.6,,13562435237.26,,23721266976.86,6340712290.92,3021063950.77,3396337095.62,36490759614.17,,,,175668163538.65,131887978638.95,450493159.51,450493159.51,,,,,,,,,,,,,,,,,,,,,,,,,,
1,000002.SZ,20190430,20190430,20190331,1,1,,,79002977074.59,,,,,,,,,,,,,26698563447.49,105701540522.08,69006246621.4,5522606519.86,18188301169.96,,,,,,39696989752.26,132414144063.48,-26712603541.4,12323545023.26,533092800.0,446545747.05,6931455.79,497537064.47,13807652090.57,1609177975.72,1769849123.12,3738495087.96,709965734.11,,7827487920.91,5980164169.66,7082673295.15,6029268782.6,,13562435237.26,-37714383634.8221,23721266976.86,6340712290.92,3021063950.77,3396337095.62,36490759614.17,-22928324376.91,-119421151.05,-43780184899.7,175668163538.65,131887978638.95,450493159.51,450493159.51,,,,,,,,,,,,,,,,,,,,,,,,,,
0,000004.SZ,20190426,20190426,20190331,1,1,,,98705920.67,,,,,,,,,,,,,3468507.79,102174428.46,15122877.79,5831179.6,17306027.65,,,,,,59948392.66,98208477.7,3965950.76,,36091950.0,,,,36091950.0,5065313.6,,,,,5065313.6,31026636.4,,,,0.0,73572174.5003,,,,,0.0,0.0,,34992587.16,49003296.32,83995883.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,000004.SZ,20190426,20190426,20181231,1,1,-21612682.1,,382366868.15,,,,,,,,,,,,,21124545.04,403491413.19,51360337.8,20823525.63,53921119.62,,,,,,330696676.16,456801659.21,-53310246.02,,36896550.0,,,,36896550.0,17537135.5,,,38142193.6,,55679329.1,-18782779.1,,,,21000000.0,-134161560.62,,,,,,21000000.0,,-51093025.12,100096321.44,49003296.32,21000000.0,21000000.0,,23205485.19,3628324.49,692958.6,1396449.11,,,,62244.85,,-3537764.73,-1365039.41,-3463150.34,-1842255.49,-42681720.15,-7793096.04,,-53310246.02,,,,49003296.32,100096321.44,,,-51093025.12
0,000005.SZ,20190425,20190425,20190331,1,1,,,132045466.23,648.3,,,,,,,,,,,,86978799.64,219024914.17,107538842.17,12537139.59,6254471.71,,,,,,22217440.62,148547894.09,70477020.08,,,,120000000.0,,120000000.0,2850.0,,,,,2850.0,119997150.0,195000000.0,,,195000000.0,,359456482.55,6703209.15,,527297.0,366686988.7,-171686988.7,,18787181.38,35201570.15,53988751.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,000005.SZ,20190425,20190425,20190331,1,1,,,132045466.23,648.3,,,,,,,,,,,,86978799.64,219024914.17,107538842.17,12537139.59,6254471.71,,,,,,22217440.62,148547894.09,70477020.08,,,,120000000.0,,120000000.0,2850.0,,,,,2850.0,119997150.0,195000000.0,,,195000000.0,133619054.97,359456482.55,6703209.15,,527297.0,366686988.7,-171686988.7,,18787181.38,35201570.15,53988751.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,000005.SZ,20190425,20190425,20181231,1,1,156748626.08,33599385.88,394253096.01,,,,,,,,,,,,,168477677.87,562730773.88,297446820.44,80557375.5,20187357.51,,,,,,259334035.16,657525588.61,-94794814.73,,,,150002643.93,76382649.78,226385293.71,16790946.4,25312320.0,,48029290.41,,90132556.81,136252736.9,545352875.0,,2188939.86,547769230.78,-539043288.9829,557706227.25,44473976.78,,1188196.41,603368400.44,-55599169.66,-62887.33,-14204134.82,49405704.97,35201570.15,227415.92,227415.92,,21481060.56,5774374.44,3925083.74,1618858.87,,,-263575191.74,4978.34,,61438845.01,-6655745.54,-342000.0,-70842603.28,-165206962.71,127236475.62,,-94794814.73,,,,35201570.15,49405704.97,,,-14204134.82
0,000006.SZ,20190430,20190430,20190331,1,1,,,761171035.94,,,,,,,,,,,,,1030269376.46,1791440412.4,451371095.16,30916626.7,106504040.52,,,,,,1370183320.14,1958975082.52,-167534670.12,,,,,,,4231339.77,126871420.26,,,,131102760.03,-131102760.03,100000000.0,,,100000000.0,-384242320.8548,98747197.18,24465788.07,,,123212985.25,-23212985.25,-88710.88,-321939126.28,3590293078.4,3268353952.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,000007.SZ,20190430,20190430,20190331,1,1,,,9810170.74,,,,,,,,,,,,,15419727.0,25229897.74,766610.44,3063265.11,796039.21,,,,,,6536851.42,11162766.18,14067131.56,,,,,,,,9992963.2,,,,9992963.2,-9992963.2,,,,,-7682957.7768,,,,,,,,4074168.36,6618212.69,10692381.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
