,ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales
1,000007.SZ,20190831,20190831,20190630,1,1,346448044.0,157024158.46,-325863975.46,8998897.98,,12641000.09,51759703.51,,191580.62,8902906.5,29400.0,,,127762.6,,,,,,,,,64444178.09,138096531.41,,,101113068.65,35264492.64,,,,65062843.05,,,,,,258825.22,,,1879198.8,4765429.51,,,257344257.87,,,,,,,,,,,,,,,,,395440789.28,,,,,,,,6121416.19,428343.72,,,950620.6,1120664.05,,,32034493.17,,,,,,,,,,40655537.73,,,,164692249.98,,,,164692249.98,,,,,,,,,,,,,,,,,205347787.71,,,,,3485876.59,186607124.98,190093001.57,395440789.28,,,,,,,,,,
0,000008.SZ,20190829,20190829,20190630,1,1,2780795346.0,2771978529.21,1707971194.95,46853663.31,43596110.59,714535910.99,62344041.65,140574389.32,2942090619.3,97156286.31,541477470.97,,578803.72,862616600.69,,,,,,,,,69486920.52,5430861043.47,,,87813331.02,18618860.51,,,,313579117.8,18557171.0,,367.31,,,248003487.22,18932300.61,3596024272.86,33185901.96,81353072.8,,15438515.32,4936863263.44,,,,,,,,,,,,,,,,,10367724306.91,162487000.0,914560310.0,,,,,587345221.32,755465660.68,124850602.19,,,45654823.56,48078545.99,1551731.05,6650616.18,278256087.84,,,,,,,,,22990116.06,2787126100.87,,,,,28820652.28,18477811.98,,209785464.26,,1722386.0,,,,,,,,,,,,,,,2996911565.13,78103749.75,,,,97721647.47,7273091094.31,7370812741.78,10367724306.91,,,,,,,,,,
0,000009.SZ,20190831,20190831,20190630,1,1,2149344971.0,849856619.72,2073521665.72,260063367.29,7057528.19,5243854528.87,528195800.7,731297494.79,2268526441.89,805334919.99,320477615.57,,4831899.36,9616441175.92,,,,,,,,,385061935.53,19952272773.75,,,1051490257.62,271218430.01,,,,4064882678.74,1393056300.1,,,,,1103781079.41,30054114.51,505166618.34,175677688.51,527675492.88,307019847.25,236420705.76,10028342667.37,,,,,,,,,,,,,,,,,29980615441.12,2069971262.93,3711462600.0,,,,,344294213.24,2690718975.53,1281451765.16,,,107662550.82,874684829.52,201981195.44,89020489.89,1345852509.27,,,,,,,,434160012.97,6115.18,11081295257.02,5115799558.5,628546601.86,5000000.0,12924283.45,88474585.47,486914210.97,88564305.56,8497399850.66,,,,,,,,,,,,,,,,,19578695107.68,,,,,5059045732.34,5342874601.1,10401920333.44,29980615441.12,1205041.92,3030449.18,,,,,,,48250961.13,
1,000009.SZ,20190831,20190831,20190630,1,1,2149344971.0,849856619.72,2073521665.72,260063367.29,7057528.19,5243854528.87,,731297494.79,2268526441.89,,320477615.57,,4831899.36,9616441175.92,,,,,,,,,385061935.53,19952272773.75,,,1051490257.62,271218430.01,,,,,,,,,,1103781079.41,30054114.51,505166618.34,175677688.51,527675492.88,307019847.25,236420705.76,10028342667.37,,,,,,,,,,,,,,,,,29980615441.12,2069971262.93,3711462600.0,,,,,344294213.24,2690718975.53,1281451765.16,,,107662550.82,874684829.52,201981195.44,89020489.89,,,,,,,,,434160012.97,6115.18,11081295257.02,5115799558.5,,,12924283.45,88474585.47,486914210.97,88564305.56,8497399850.66,,,,,,,,,,,,,,,,,19578695107.68,,,,,5059045732.34,5342874601.1,10401920333.44,29980615441.12,1205041.92,3030449.18,,,,,,,48250961.13,
0,000010.SZ,20190802,20190802,20190630,1,1,819854713.0,1495371501.32,-1894252363.52,8592788.79,,271163331.28,,25140000.0,902532439.3,297350469.84,52524406.45,,9378300.0,1374415543.52,,62319777.22,,,,,,,45089297.07,3039913564.68,,,,28875834.68,,,16265725.7,66297819.5,,,,,,9741526.1,,203019928.69,12272549.95,47072885.13,,65020000.0,577852728.08,,,,,,,,,,,,,,,,,3617766292.76,62000000.0,344618924.6,,,,,7808000.0,869466894.08,143755555.65,,,15658271.27,35763860.18,27992112.56,,1127812947.09,,,,,,,,5000000.0,135002937.55,2712879502.98,,,,,13182872.55,,,75182872.55,,,,,,,,,,,,,,,,,2788062375.53,,,,,400137277.64,429566639.59,829703917.23,3617766292.76,,,,,,,,,,
1,000010.SZ,20190802,20190906,20190630,1,1,819854713.0,1495371501.32,-1894252363.52,8592788.79,,271163331.28,,25140000.0,902532439.3,297350469.84,52524406.45,,9378300.0,1374415543.52,,62319777.22,,,,,,,45089297.07,3039913564.68,,,,28875834.68,,,16265725.7,66297819.5,,,,,,9741526.1,,203019928.69,12272549.95,47072885.13,,65020000.0,577852728.08,,,,,,,,,,,,,,,,,3617766292.76,62000000.0,344618924.6,,,,,7808000.0,869466894.08,143755555.65,,,15658271.27,35763860.18,27992112.56,,1127812947.09,,,,,,,,5000000.0,135002937.55,2712879502.98,,,,,13182872.55,,,75182872.55,,,,,,,,,,,,,,,,,2788062375.53,,,,,400137277.64,429566639.59,829703917.23,3617766292.76,,,,,,,,,,
0,000011.SZ,20190820,20190820,20190630,1,1,595979092.0,118938132.89,2250204382.04,299569569.96,,2619326701.91,,,78370539.85,,132519315.37,0.0,4348511.45,3800808133.57,,,0.0,,,,,,24231402.6,8064532558.07,0.0,,40780109.81,388859756.35,,,,,,,,,,,,,2348985.91,542341646.0,0.0,22309093.4,1055299663.35,,,,,,,,,,,,,,,,,9119832221.42,2194000000.0,,0.0,,0.0,,,387411164.1,1055796245.18,,,72444559.04,1374184461.6,6702350.69,29642.4,,,,,,,0.0,0.0,,,3450157419.86,,,,,4281.56,,53068073.26,2247072354.82,,,,,,,,,,,,,,,,,5697229774.68,0.0,,,,159494627.29,3263107819.45,3422602446.74,9119832221.42,,-1583357.44,,,,,,,0.0,0.0
1,000011.SZ,20190820,20190820,20190630,1,1,595979092.0,118938132.89,2250204382.04,299569569.96,,2619326701.91,,,78370539.85,1404927953.32,132519315.37,0.0,4348511.45,3800808133.57,,,0.0,,,,,,24231402.6,8064532558.07,0.0,,40780109.81,388859756.35,,,,33037636.13,,,,,,,,,2348985.91,542341646.0,0.0,22309093.4,1055299663.35,,,,,,,,,,,,,,,,,9119832221.42,2194000000.0,,0.0,,0.0,,,387411164.1,1055796245.18,,,72444559.04,1374184461.6,6702350.69,29642.4,553588996.85,,,,,,0.0,0.0,,,3450157419.86,,,,,4281.56,,53068073.26,2247072354.82,,,,,,,,,,,,,,,,,5697229774.68,0.0,,,,159494627.29,3263107819.45,3422602446.74,9119832221.42,,-1583357.44,,,,,,,0.0,0.0
0,000012.SZ,20190823,20190823,20190630,1,1,3108196163.0,723817763.0,4722400089.0,924305375.0,8235251.0,1895457290.0,,656498454.0,780075797.0,,111724191.0,,,733850928.0,,,,,,,,,136195974.0,4517841759.0,,,,,,,,,,,,,,1030390575.0,70573426.0,376720156.0,11821826.0,141735767.0,,55588781.0,13929345311.0,,,,,,,,,,,,,,,,,18447187070.0,2292462500.0,2665570348.0,,,,,280009274.0,1056501804.0,228877586.0,,,185107411.0,96414967.0,73933818.0,3221496.0,,,,,,,,,714186697.0,300000.0,5583947899.0,,,,,31806065.0,536895424.0,,3152527141.0,,,,,,,,,,,,,,,,,8736475040.0,137277563.0,,,,355674557.0,9355037473.0,9710712030.0,18447187070.0,,5360395.0,,,,,,,,
1,000012.SZ,20190823,20190823,20190630,1,1,3108196163.0,723817763.0,4722400089.0,924305375.0,8235251.0,1895457290.0,,656498454.0,780075797.0,204039125.0,111724191.0,,,733850928.0,,,,,,,,,136195974.0,4517841759.0,,,,,,,,10301649825.0,1940864955.0,,,,,1030390575.0,70573426.0,376720156.0,11821826.0,141735767.0,,55588781.0,13929345311.0,,,,,,,,,,,,,,,,,18447187070.0,2292462500.0,2665570348.0,,,,,280009274.0,1056501804.0,228877586.0,,,185107411.0,96414967.0,73933818.0,3221496.0,279824498.0,,,,,,,,714186697.0,300000.0,5583947899.0,,291363152.0,,,31806065.0,536895424.0,,3152527141.0,,,,,,,,,,,,,,,,,8736475040.0,137277563.0,,,,355674557.0,9355037473.0,9710712030.0,18447187070.0,,5360395.0,,,,,,,,
