,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,300638.SZ,71.98,71.98,65.0,67.78,72.16,-4.3799999999999955,-6.0698,35420.31,244335.247,8.7498,1.15,70.674,31158.032,69.44,32061.627,66.423,27365.2115
1,20200122,300638.SZ,69.35,72.37,68.58,72.16,71.13,1.0300000000000011,1.4481,35764.39,253620.886,8.8348,1.23,71.258,30691.56,69.102,30952.601,66.253,26360.174
2,20200121,300638.SZ,71.8,72.38,70.58,71.13,71.2,-0.07000000000000739,-0.0983,25984.8,185888.753,6.419,0.78,70.692,29093.47,68.128,30347.726,65.8875,25475.236
3,20200120,300638.SZ,71.86,72.99,69.03,71.2,71.1,0.10000000000000853,0.1406,33167.88,235503.819,8.1934,0.97,70.206,33344.642,67.528,30399.982,65.5215,25549.6175
4,20200117,300638.SZ,71.21,72.36,69.91,71.1,70.7,0.3999999999999915,0.5658,25452.78,181203.666,6.2875,0.77,69.466,34095.352,66.79,29729.075,65.3005,24672.0135
5,20200116,300638.SZ,69.2,72.5,68.8,70.7,69.33,1.3700000000000045,1.9761,33087.95,234161.88,8.1736,1.06,68.206,32965.222,65.995,29316.509,65.1135,24560.4795
6,20200115,300638.SZ,69.0,69.88,68.2,69.33,68.7,0.6299999999999955,0.917,27773.94,191652.817,6.8609,0.88,66.946,31213.642,65.196,28639.828,64.933,24334.24
7,20200114,300638.SZ,68.8,69.95,67.8,68.7,67.5,1.2000000000000028,1.7778,47240.66,325467.288,11.6698,1.72,65.564,31601.982,64.533,27231.179,64.827,24837.552
8,20200113,300638.SZ,64.8,67.78,64.57,67.5,64.8,2.700000000000003,4.1667,36921.43,246040.629,9.1206,1.46,64.85,27455.322,63.963,24586.666,64.657,24225.54
9,20200110,300638.SZ,64.77,65.56,64.08,64.8,64.4,0.3999999999999915,0.6211,19802.13,128198.121,4.8917,0.77,64.114,25362.798,63.48,23206.765,64.451,24004.3935
10,20200109,300638.SZ,62.84,64.46,62.84,64.4,62.42,1.980000000000004,3.1721,24330.05,155427.857,6.0102,0.93,63.784,25667.796,63.406,22668.796,64.3,24093.2975
11,20200108,300638.SZ,64.99,64.99,62.15,62.42,65.13,-2.7099999999999937,-4.1609,29715.64,188567.352,7.3406,1.3,63.446,26066.014,63.404,21767.747,64.155,23715.1695
12,20200107,300638.SZ,63.9,65.38,63.6,65.13,63.82,1.3099999999999952,2.0526,26507.36,171509.567,6.5481,1.22,63.502,22860.376,63.647,20602.746,64.178,23208.9665
13,20200106,300638.SZ,62.99,64.38,62.3,63.82,63.15,0.6700000000000017,1.061,26458.81,168013.245,6.5361,1.26,63.076,21718.01,63.515,20699.253,64.0425,22683.721
14,20200103,300638.SZ,62.78,63.6,62.65,63.15,62.71,0.4399999999999977,0.7016,21327.12,134692.794,5.2684,1.08,62.846,21050.732,63.811,19614.952,63.997,22430.8955
15,20200102,300638.SZ,63.31,63.36,62.5,62.71,62.7,0.00999999999999801,0.0159,26321.14,165484.482,6.5021,1.51,63.028,19669.796,64.232,19804.45,63.977,22923.612
16,20191231,300638.SZ,62.18,63.3,62.18,62.7,63.0,-0.29999999999999716,-0.4762,13687.45,85870.669,3.3812,0.75,63.362,17469.48,64.67,20028.652,63.8375,22187.4485
17,20191230,300638.SZ,61.98,63.09,58.99,63.0,62.67,0.3299999999999983,0.5266,20795.53,128032.164,5.1371,1.06,63.792,18345.116,65.121,22443.925,63.7475,22294.234
18,20191227,300638.SZ,64.05,65.4,62.56,62.67,64.06,-1.3900000000000006,-2.1698,23122.42,147700.446,5.7119,1.27,63.954,19680.496,65.351,23864.414,63.5555,21861.739
19,20191226,300638.SZ,64.7,64.99,63.56,64.06,64.38,-0.3199999999999932,-0.497,14422.44,92409.379,3.5627,0.72,64.776,18179.172,65.422,24802.022,63.3645,21294.373
20,20191225,300638.SZ,64.57,65.36,64.03,64.38,64.85,-0.46999999999999886,-0.7247,15319.56,98999.213,3.7844,0.68,65.436,19939.104,65.194,25517.799,63.122,21127.0695
21,20191224,300638.SZ,63.96,65.08,63.46,64.85,63.81,1.039999999999992,1.6298,18065.63,116104.846,4.4627,0.68,65.978,22587.824,64.906,25662.592,62.913,20975.297
22,20191223,300638.SZ,65.55,66.42,63.8,63.81,66.78,-2.969999999999999,-4.4474,27472.43,178271.01,6.8436,0.98,66.45,26542.734,64.709,25815.187,62.6755,21081.4925
23,20191220,300638.SZ,67.1,67.8,66.2,66.78,67.36,-0.5799999999999983,-0.861,15615.8,104730.365,3.89,0.5,66.748,28048.332,64.57,24668.189,62.4265,21187.513
24,20191219,300638.SZ,66.51,67.98,65.87,67.36,67.09,0.269999999999996,0.4024,23222.1,155533.224,5.7848,0.75,66.068,31424.872,64.183,25246.839,62.249,21534.849
25,20191218,300638.SZ,67.2,68.12,66.19,67.09,67.21,-0.11999999999999034,-0.1785,28563.16,192192.208,7.1153,0.99,64.952,31096.494,63.722,26042.774,62.0235,21771.908
26,20191217,300638.SZ,65.97,68.27,65.41,67.21,65.3,1.9099999999999966,2.925,37840.18,254789.123,9.4263,1.51,63.834,28737.36,63.005,24346.245,61.941,21385.5865
27,20191216,300638.SZ,63.36,65.9,63.31,65.3,63.38,1.9199999999999946,3.0293,35000.42,226565.275,8.7189,1.64,62.968,25087.64,62.374,22144.543,61.878,20758.0
28,20191213,300638.SZ,62.01,63.38,62.01,63.38,61.78,1.6000000000000014,2.5898,32498.5,204451.858,8.145,1.7,62.392,21288.046,61.76,19859.064,61.913,20382.001
29,20191212,300638.SZ,61.39,63.16,61.1,61.78,61.5,0.28000000000000114,0.4553,21580.21,134412.973,5.4086,1.03,62.298,19068.806,61.307,17786.724,61.949,20467.4375
30,20191211,300638.SZ,62.7,62.8,61.15,61.5,62.88,-1.3800000000000026,-2.1947,16767.49,103576.267,4.2024,0.84,62.492,20989.054,61.05,16736.34,62.012,20365.92
31,20191210,300638.SZ,62.38,62.88,61.11,62.88,62.42,0.46000000000000085,0.7369,19591.58,121035.363,4.9102,1.02,62.176,19955.13,60.92,16288.002,62.097,20643.447
32,20191209,300638.SZ,62.91,63.4,62.19,62.42,62.91,-0.4899999999999949,-0.7789,16002.45,100147.938,4.0106,0.87,61.78,19201.446,60.642,16347.798,62.0755,20851.095
33,20191206,300638.SZ,62.97,63.0,62.15,62.91,62.75,0.1599999999999966,0.255,21402.3,133979.156,5.364,1.3,61.128,18430.082,60.283,17706.837,62.03,21200.2545
34,20191205,300638.SZ,60.03,63.12,60.03,62.75,59.92,2.8299999999999983,4.723,31181.45,193189.582,7.8149,2.5,60.316,16504.642,60.315,17822.859,62.0665,22070.7845
35,20191204,300638.SZ,60.52,60.86,59.76,59.92,60.9,-0.9799999999999969,-1.6092,11597.87,69743.861,2.9067,0.92,59.608,12483.626,60.325,17501.042,62.1055,23289.9575
36,20191203,300638.SZ,59.0,60.91,58.62,60.9,59.16,1.740000000000002,2.9412,15823.16,95008.578,3.9657,1.17,59.664,12620.874,60.877,18424.928,62.1,24104.547
