,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,600502.SH,3.86,3.86,3.73,3.76,3.86,-0.10000000000000009,-2.5907,106493.3,40352.88,1.1693,1.64,3.894,74781.076,3.952,72608.255,3.993,78828.0875
1,20200122,600502.SH,3.9,3.92,3.84,3.86,3.92,-0.06000000000000005,-1.5306,79005.95,30630.06,0.8675,1.32,3.936,65022.18,3.977,70997.074,4.0015,75429.401
2,20200121,600502.SH,3.97,3.98,3.9,3.92,3.98,-0.06000000000000005,-1.5075,86049.75,33775.91,0.9448,1.45,3.966,59855.436,3.989,73331.578,4.006,73225.6985
3,20200120,600502.SH,3.94,3.99,3.94,3.98,3.95,0.029999999999999805,0.7595,50330.35,19959.804,0.5526,0.75,3.99,59361.5,4.005,72392.876,4.005,72503.2205
4,20200117,600502.SH,3.98,4.0,3.95,3.95,3.97,-0.020000000000000018,-0.5038,52026.03,20651.384,0.5713,0.74,4.002,67346.806,4.012,77948.923,4.004,73541.371
5,20200116,600502.SH,4.0,4.02,3.97,3.97,4.01,-0.03999999999999959,-0.9975,57698.82,23008.209,0.6335,0.75,4.01,70435.434,4.025,80232.833,4.007,75516.2375
6,20200115,600502.SH,4.05,4.07,4.0,4.01,4.04,-0.03000000000000025,-0.7426,53172.23,21377.883,0.5838,0.61,4.018,76971.968,4.037,84010.097,4.0055,75344.86
7,20200114,600502.SH,4.05,4.08,4.03,4.04,4.04,0.0,0.0,83580.07,33905.338,0.9177,0.98,4.012,86807.72,4.042,86383.506,4.002,78209.012
8,20200113,600502.SH,4.01,4.04,3.96,4.04,3.99,0.04999999999999982,1.2531,90256.88,36144.56,0.991,1.02,4.02,85424.252,4.042,85546.388,3.9945,77793.6545
9,20200110,600502.SH,4.02,4.03,3.98,3.99,4.01,-0.019999999999999574,-0.4988,67469.17,26974.485,0.7408,0.75,4.022,88551.04,4.037,86167.539,3.985,76716.793
10,20200109,600502.SH,4.0,4.03,4.0,4.01,3.98,0.029999999999999805,0.7538,90381.49,36248.858,0.9924,0.99,4.04,90030.232,4.034,85047.92,3.975,75351.4345
11,20200108,600502.SH,4.06,4.07,3.98,3.98,4.08,-0.10000000000000009,-2.451,102350.99,41195.94,1.1238,1.19,4.056,91048.226,4.026,79861.728,3.966,72931.455
12,20200107,600502.SH,4.05,4.08,4.04,4.08,4.05,0.03000000000000025,0.7407,76662.73,31115.718,0.8418,0.89,4.072,85959.292,4.023,73119.819,3.9595,70038.944
13,20200106,600502.SH,4.07,4.09,4.03,4.05,4.08,-0.03000000000000025,-0.7353,105890.82,42968.847,1.1627,1.26,4.064,85668.524,4.005,72613.565,3.948,68771.844
14,20200103,600502.SH,4.11,4.11,4.07,4.08,4.09,-0.009999999999999787,-0.2445,74865.13,30603.156,0.822,0.94,4.052,83784.038,3.996,69133.819,3.9375,65735.409
15,20200102,600502.SH,4.09,4.12,4.06,4.09,4.06,0.03000000000000025,0.7389,95471.46,39103.437,1.0483,1.39,4.028,80065.608,3.989,70799.642,3.925,63834.3
16,20191231,600502.SH,4.04,4.07,4.02,4.06,4.04,0.019999999999999574,0.495,76906.32,31084.315,0.8444,1.28,3.996,68675.23,3.974,66679.623,3.91,60747.982
17,20191230,600502.SH,3.97,4.04,3.97,4.04,3.99,0.04999999999999982,1.2531,75208.89,30189.598,0.8258,1.26,3.974,60280.346,3.962,70034.518,3.898,59202.666
18,20191227,600502.SH,3.96,4.02,3.94,3.99,3.96,0.03000000000000025,0.7576,96468.39,38557.697,1.0592,1.77,3.946,59558.606,3.947,70040.921,3.888,57479.8255
19,20191226,600502.SH,3.93,3.96,3.91,3.96,3.93,0.029999999999999805,0.7634,56272.98,22167.122,0.6179,0.91,3.94,54483.6,3.933,67266.047,3.882,53886.558
20,20191225,600502.SH,3.95,3.96,3.92,3.93,3.95,-0.020000000000000018,-0.5063,38519.57,15157.936,0.423,0.6,3.95,61533.676,3.916,65654.949,3.877,53018.3475
21,20191224,600502.SH,3.9,3.95,3.9,3.95,3.9,0.050000000000000266,1.2821,34931.9,13720.054,0.3836,0.44,3.952,64684.016,3.906,66001.182,3.875,53713.257
22,20191223,600502.SH,3.97,3.98,3.9,3.9,3.96,-0.06000000000000005,-1.5152,71600.19,28218.157,0.7862,0.89,3.95,79788.69,3.896,66958.069,3.874,53959.114
23,20191220,600502.SH,3.98,4.02,3.95,3.96,4.01,-0.04999999999999982,-1.2469,71093.36,28339.623,0.7806,0.89,3.948,80523.236,3.891,64930.123,3.876,54641.093
24,20191219,600502.SH,3.95,4.01,3.93,4.01,3.94,0.06999999999999984,1.7766,91523.36,36362.582,1.0049,1.31,3.926,80048.494,3.879,62336.999,3.8715,53798.367
25,20191218,600502.SH,3.94,3.96,3.92,3.94,3.94,0.0,0.0,54271.27,21400.654,0.5959,0.81,3.882,69776.222,3.861,56868.958,3.864,50670.538
26,20191217,600502.SH,3.89,3.96,3.88,3.94,3.89,0.04999999999999982,1.2853,110455.27,43369.052,1.2128,2.04,3.86,67318.348,3.846,54816.341,3.8605,50056.851
27,20191216,600502.SH,3.87,3.89,3.85,3.89,3.85,0.040000000000000036,1.039,75272.92,29122.0,0.8265,1.53,3.842,54127.448,3.834,48370.814,3.8575,48326.4705
28,20191213,600502.SH,3.82,3.85,3.8,3.85,3.79,0.06000000000000005,1.5831,68719.65,26310.324,0.7546,1.54,3.834,49337.01,3.829,44918.73,3.8525,46084.45
29,20191212,600502.SH,3.82,3.83,3.78,3.79,3.83,-0.040000000000000036,-1.0444,40162.0,15283.89,0.441,0.91,3.832,44625.504,3.831,40507.069,3.8485,44201.2885
30,20191211,600502.SH,3.84,3.85,3.82,3.83,3.85,-0.020000000000000018,-0.5195,41981.9,16089.739,0.461,0.99,3.84,43961.694,3.838,40381.746,3.85,44306.3145
31,20191210,600502.SH,3.84,3.85,3.82,3.85,3.85,0.0,0.0,44500.77,17059.907,0.4886,1.04,3.832,42314.334,3.844,41425.332,3.848,43272.877
32,20191209,600502.SH,3.83,3.86,3.82,3.85,3.84,0.010000000000000231,0.2604,51320.73,19727.205,0.5635,1.27,3.826,42614.18,3.852,40960.159,3.8455,43132.4705
33,20191206,600502.SH,3.84,3.85,3.8,3.84,3.83,0.009999999999999787,0.2611,45162.12,17257.46,0.4959,1.24,3.824,40500.45,3.861,44352.063,3.8425,43818.0145
34,20191205,600502.SH,3.81,3.83,3.8,3.83,3.79,0.040000000000000036,1.0554,36842.95,14065.95,0.4045,1.0,3.83,36388.634,3.864,45259.735,3.847,44115.1985
35,20191204,600502.SH,3.82,3.82,3.76,3.79,3.82,-0.029999999999999805,-0.7853,33745.1,12791.497,0.3705,0.83,3.836,36801.798,3.867,44472.118,3.8525,44032.9535
36,20191203,600502.SH,3.85,3.85,3.78,3.82,3.84,-0.020000000000000018,-0.5208,46000.0,17524.9,0.5051,1.17,3.856,40536.33,3.875,45297.361,3.859,44437.8295
37,20191202,600502.SH,3.9,3.9,3.82,3.84,3.87,-0.03000000000000025,-0.7752,40752.08,15714.262,0.4475,0.85,3.878,39306.138,3.881,48282.127,3.866,44192.233
38,20191129,600502.SH,3.85,3.89,3.84,3.87,3.86,0.010000000000000231,0.2591,24603.04,9486.523,0.2701,0.45,3.898,48203.676,3.876,47250.17,3.8715,44734.7165
39,20191128,600502.SH,3.88,3.92,3.85,3.86,3.89,-0.03000000000000025,-0.7712,38908.77,15098.627,0.4272,0.75,3.898,54130.836,3.866,47895.508,3.876,46588.4805
40,20191127,600502.SH,3.91,3.95,3.89,3.89,3.93,-0.040000000000000036,-1.0178,52417.76,20514.746,0.5756,1.05,3.898,52142.438,3.862,48230.883,3.881,49651.754
41,20191126,600502.SH,3.94,3.95,3.92,3.93,3.94,-0.009999999999999787,-0.2538,39849.04,15677.12,0.4376,0.7,3.894,50058.392,3.852,45120.422,,
42,20191125,600502.SH,3.85,3.96,3.85,3.94,3.87,0.06999999999999984,1.8088,85239.77,33438.087,0.9359,1.84,3.884,57258.116,3.839,45304.782,,
43,20191122,600502.SH,3.87,3.89,3.83,3.87,3.86,0.010000000000000231,0.2591,54238.84,20950.793,0.5956,1.3,3.854,46296.664,3.824,43283.966,,
44,20191121,600502.SH,3.86,3.88,3.83,3.86,3.87,-0.010000000000000231,-0.2584,28966.78,11187.651,0.3181,0.65,3.834,41660.18,3.83,42970.662,,
45,20191120,600502.SH,3.86,3.88,3.85,3.87,3.88,-0.009999999999999787,-0.2577,41997.53,16221.346,0.4611,1.05,3.826,44319.328,3.838,43593.789,,
46,20191119,600502.SH,3.83,3.94,3.83,3.88,3.79,0.08999999999999986,2.3747,75847.66,29528.917,0.8328,2.27,3.81,40182.452,3.843,43578.298,,
47,20191118,600502.SH,3.77,3.82,3.74,3.79,3.77,0.020000000000000018,0.5305,30432.51,11486.385,0.3342,0.76,3.794,33351.448,3.851,40102.339,,
48,20191115,600502.SH,3.82,3.82,3.77,3.77,3.82,-0.04999999999999982,-1.3089,31056.42,11773.663,0.341,0.7,3.794,40271.268,3.867,42219.263,,
49,20191114,600502.SH,3.82,3.87,3.8,3.82,3.79,0.029999999999999805,0.7916,42262.52,16218.49,0.4641,0.99,3.826,44281.144,3.886,45281.453,,
50,20191113,600502.SH,3.81,3.81,3.77,3.79,3.8,-0.009999999999999787,-0.2632,21313.15,8065.753,0.234,0.45,3.85,42868.25,3.9,51072.625,,
51,20191112,600502.SH,3.8,3.82,3.73,3.8,3.79,0.009999999999999787,0.2639,41692.64,15694.092,0.4578,0.89,3.876,46974.144,,,,
52,20191111,600502.SH,3.91,3.92,3.78,3.79,3.93,-0.14000000000000012,-3.5623,65031.61,24966.776,0.7141,1.47,3.908,46853.23,,,,
53,20191108,600502.SH,3.96,3.97,3.91,3.93,3.94,-0.009999999999999787,-0.2538,51105.8,20108.777,0.5612,1.1,3.94,44167.258,,,,
54,20191107,600502.SH,3.92,3.95,3.91,3.94,3.92,0.020000000000000018,0.5102,35198.05,13842.981,0.3865,0.59,3.946,46281.762,,,,
55,20191106,600502.SH,3.96,3.96,3.92,3.92,3.96,-0.040000000000000036,-1.0101,41842.62,16471.855,0.4594,0.57,3.95,59277.0,,,,
56,20191105,600502.SH,3.94,3.97,3.93,3.96,3.95,0.009999999999999787,0.2532,41088.07,16245.69,0.4512,0.54,,,,,,
57,20191104,600502.SH,3.99,4.01,3.95,3.95,3.96,-0.009999999999999787,-0.2525,51601.75,20533.102,0.5666,0.59,,,,,,
58,20191101,600502.SH,3.94,3.99,3.92,3.96,3.96,0.0,0.0,61678.32,24428.81,0.6772,0.75,,,,,,
59,20191031,600502.SH,4.08,4.1,3.95,3.96,4.07,-0.11000000000000032,-2.7027,100174.24,40188.043,1.0999,1.4,,,,,,
