,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,300671.SZ,26.19,28.3,23.39,27.22,25.99,1.2300000000000004,4.7326,201446.04,537713.841,25.6235,1.68,24.546,131723.538,23.191,115794.576,23.1385,85483.643
1,20200122,300671.SZ,23.9,25.99,23.64,25.99,23.63,2.3599999999999994,9.9873,126461.72,317082.182,16.0857,1.02,23.386,119897.194,22.814,101711.399,22.9125,78705.3325
2,20200121,300671.SZ,23.89,24.88,23.2,23.63,24.04,-0.41000000000000014,-1.7055,104038.05,248253.096,13.2334,0.87,22.198,123527.52,22.562,96058.428,22.716,74495.2955
3,20200120,300671.SZ,22.0,24.04,21.69,24.04,21.85,2.1899999999999977,10.0229,114366.45,266754.924,14.5472,1.01,21.834,119072.166,22.621,98333.163,22.6095,71450.823
4,20200117,300671.SZ,21.73,22.46,21.29,21.85,21.42,0.4299999999999997,2.0075,112305.43,247151.995,14.285,1.12,21.542,113577.016,22.566,92369.485,22.5325,67966.555
5,20200116,300671.SZ,19.6,22.05,19.6,21.42,20.05,1.370000000000001,6.8329,142314.32,295969.564,18.1021,1.7,21.836,99865.614,22.693,85252.051,22.6075,64811.8995
6,20200115,300671.SZ,19.79,20.5,19.63,20.05,21.81,-1.759999999999998,-8.0697,144613.35,289341.984,18.3945,2.11,22.242,83525.604,22.866,75656.558,22.7445,62140.166
7,20200114,300671.SZ,22.94,23.18,21.66,21.81,22.58,-0.7699999999999996,-3.4101,81761.28,182655.165,10.3999,1.05,22.926,68589.336,23.076,63723.219,22.884,57033.609
8,20200113,300671.SZ,22.6,22.89,21.11,22.58,23.32,-0.740000000000002,-3.1732,86890.7,194481.0,11.0523,1.22,23.408,77594.16,23.124,58897.191,22.9195,55445.918
9,20200110,300671.SZ,23.45,23.8,23.21,23.32,23.45,-0.129999999999999,-0.5544,43748.42,102707.172,5.5647,0.62,23.59,71161.954,23.123,53971.841,22.884,52828.241
10,20200109,300671.SZ,23.8,23.96,23.35,23.45,23.47,-0.019999999999999574,-0.0852,60614.27,142841.672,7.71,0.89,23.55,70638.488,23.086,55172.71,22.807,53669.9745
11,20200108,300671.SZ,24.0,24.22,23.12,23.47,24.22,-0.75,-3.0966,69932.01,165637.877,8.8952,1.19,23.49,67787.512,23.011,55699.266,22.709,52524.651
12,20200107,300671.SZ,23.96,25.35,23.7,24.22,23.49,0.7300000000000004,3.1077,126785.4,307799.099,16.1268,3.15,23.226,58857.102,22.87,52932.163,22.6155,51689.895
13,20200106,300671.SZ,22.95,23.55,22.8,23.49,23.12,0.36999999999999744,1.6003,54729.67,126776.318,6.9615,1.49,22.84,40200.222,22.598,44568.483,22.4595,46947.0455
14,20200103,300671.SZ,23.33,23.33,22.8,23.12,23.15,-0.029999999999997584,-0.1296,41131.09,94884.092,5.2318,1.04,22.656,36781.728,22.499,43563.625,22.337,46146.9655
15,20200102,300671.SZ,22.28,23.2,22.21,23.15,22.15,1.0,4.5147,46359.39,105837.424,5.8968,1.06,22.622,39706.932,22.522,44371.748,22.2205,46055.7675
