,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,300259.SZ,5.1,5.22,4.95,5.06,5.13,-0.07000000000000028,-1.3645,372881.87,190730.702,5.1418,1.38,5.022,268711.828,5.081,311636.919,4.9785,523574.0095
1,20200122,300259.SZ,4.94,5.15,4.79,5.13,4.96,0.16999999999999993,3.4274,361680.13,181847.432,4.9873,1.42,5.006,269798.74,5.085,324151.417,4.9405,538508.3615
2,20200121,300259.SZ,5.0,5.02,4.95,4.96,4.98,-0.020000000000000462,-0.4016,189472.22,94295.941,2.6127,0.63,5.012,254946.33,5.086,357547.627,4.899,572346.852
3,20200120,300259.SZ,4.98,5.06,4.92,4.98,4.98,0.0,0.0,193962.4,96591.629,2.6746,0.6,5.078,302803.494,5.137,473951.382,4.862,570586.918
4,20200117,300259.SZ,5.0,5.08,4.94,4.98,4.98,0.0,0.0,225562.52,113043.17,3.1104,0.64,5.12,321100.568,5.192,532990.675,4.805,566313.368
5,20200116,300259.SZ,5.18,5.19,4.96,4.98,5.16,-0.17999999999999972,-3.4884,378316.43,190783.626,5.2167,1.0,5.14,354562.01,5.197,618216.754,4.7505,562281.3775
6,20200115,300259.SZ,5.24,5.29,5.13,5.16,5.29,-0.1299999999999999,-2.4575,287418.08,148820.888,3.9633,0.62,5.164,378504.094,5.156,631772.214,4.694,549796.031
7,20200114,300259.SZ,5.16,5.31,5.12,5.29,5.19,0.09999999999999964,1.9268,428758.04,223302.366,5.9123,0.66,5.16,460148.924,5.076,636784.809,4.6295,544805.072
8,20200113,300259.SZ,5.19,5.2,5.08,5.19,5.08,0.11000000000000032,2.1654,285447.77,147141.824,3.9361,0.38,5.196,645099.27,4.995,638174.426,4.559,533911.694
9,20200110,300259.SZ,5.1,5.26,5.07,5.08,5.1,-0.019999999999999574,-0.3922,392869.73,202303.409,5.4174,0.45,5.264,744880.782,4.928,679285.661,4.4875,524770.961
10,20200109,300259.SZ,5.24,5.25,5.05,5.1,5.14,-0.040000000000000036,-0.7782,498026.85,255120.38,6.8675,0.56,5.254,881871.498,4.876,735511.1,4.42,511002.323
11,20200108,300259.SZ,5.29,5.38,5.14,5.14,5.47,-0.33000000000000007,-6.0329,695642.23,365732.303,9.5925,0.86,5.148,885040.334,4.796,752865.306,4.352,493341.8005
12,20200107,300259.SZ,5.83,5.84,5.36,5.47,5.53,-0.0600000000000005,-1.085,1353509.77,752684.653,18.6641,2.14,4.992,813420.694,4.712,787146.077,4.2795,462919.953
13,20200106,300259.SZ,5.21,5.53,5.05,5.53,5.03,0.5,9.9404,784355.33,417630.003,10.8158,1.28,4.794,631249.582,4.587,667222.454,4.1895,399519.893
14,20200103,300259.SZ,4.61,5.03,4.59,5.03,4.57,0.45999999999999996,10.0656,1077823.31,531485.986,14.8625,1.83,4.592,613690.54,4.418,599636.061,4.0955,363778.1065
