,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,300141.SZ,7.14,7.14,6.71,6.75,7.17,-0.41999999999999993,-5.8577,39783.11,27491.194,2.403,1.28,7.066,30628.486,7.216,44745.326,7.091,53019.712
1,20200122,300141.SZ,7.1,7.22,6.91,7.17,7.06,0.11000000000000032,1.5581,29699.9,21073.322,1.794,0.88,7.156,31029.254,7.314,52107.997,7.081,52636.4565
2,20200121,300141.SZ,7.15,7.15,7.03,7.06,7.23,-0.17000000000000082,-2.3513,31835.5,22525.617,1.923,0.73,7.182,33621.092,7.348,63801.121,7.051,53127.841
3,20200120,300141.SZ,7.02,7.23,7.01,7.23,7.12,0.11000000000000032,1.5449,27192.05,19506.49,1.6425,0.55,7.278,43461.346,7.367,69049.654,7.012,52693.291
4,20200117,300141.SZ,7.22,7.3,7.07,7.12,7.2,-0.08000000000000007,-1.1111,24631.87,17708.414,1.4879,0.42,7.312,49818.046,7.337,73227.584,6.975,52777.3635
5,20200116,300141.SZ,7.3,7.3,7.12,7.2,7.3,-0.09999999999999964,-1.3699,41786.95,30073.882,2.5241,0.57,7.366,58862.166,7.3,73286.9,6.954,54195.5325
6,20200115,300141.SZ,7.46,7.46,7.27,7.3,7.54,-0.2400000000000002,-3.183,42659.09,31272.774,2.5768,0.45,7.472,73186.74,7.259,72968.119,6.9205,52973.485
7,20200114,300141.SZ,7.5,7.68,7.41,7.54,7.4,0.13999999999999968,1.8919,81036.77,61132.356,4.8949,0.86,7.514,93981.15,7.196,72107.165,6.883,52007.7305
8,20200113,300141.SZ,7.45,7.53,7.25,7.4,7.39,0.010000000000000675,0.1353,58975.55,43479.04,3.5623,0.61,7.456,94637.962,7.12,69011.088,6.829,48834.342
9,20200110,300141.SZ,7.57,7.67,7.36,7.39,7.73,-0.34000000000000075,-4.3984,69852.47,52201.748,4.2193,0.8,7.362,96637.122,7.04,65580.294,6.779,46650.1895
10,20200109,300141.SZ,7.56,7.85,7.36,7.73,7.51,0.22000000000000064,2.9294,113409.82,86093.709,6.8504,1.56,7.234,87711.634,6.966,61294.098,6.725,43582.091
11,20200108,300141.SZ,7.14,7.97,7.05,7.51,7.25,0.2599999999999998,3.5862,146631.14,110522.122,8.8571,2.92,7.046,72749.498,6.848,53164.916,6.6535,38439.75
12,20200107,300141.SZ,6.92,7.35,6.92,7.25,6.93,0.3200000000000003,4.6176,84320.83,60659.825,5.0933,1.94,6.878,50233.18,6.754,42454.561,6.598,31695.543
13,20200106,300141.SZ,6.76,7.15,6.7,6.93,6.75,0.17999999999999972,2.6667,68971.35,47957.527,4.1661,2.0,6.784,43384.214,6.657,36336.928,6.5535,28080.5015
14,20200103,300141.SZ,6.76,6.81,6.7,6.75,6.79,-0.040000000000000036,-0.5891,25225.03,17020.75,1.5237,0.72,6.718,34523.466,6.613,32327.143,6.5245,25125.3855
15,20200102,300141.SZ,6.7,6.85,6.67,6.79,6.67,0.1200000000000001,1.7991,38599.14,26138.991,2.3315,1.15,6.698,34876.562,6.608,35104.165,6.504,24498.684
16,20191231,300141.SZ,6.75,6.77,6.62,6.67,6.78,-0.11000000000000032,-1.6224,34049.55,22752.983,2.0567,0.98,6.65,33580.334,6.582,32978.851,6.48,23091.05
17,20191230,300141.SZ,6.6,6.97,6.44,6.78,6.6,0.1800000000000006,2.7273,50076.0,33792.35,3.0248,1.71,6.63,34675.942,6.57,31908.296,6.46,21845.06
18,20191227,300141.SZ,6.6,6.71,6.59,6.6,6.65,-0.05000000000000071,-0.7519,24667.61,16366.44,1.49,0.82,6.53,29289.642,6.538,28657.596,6.4315,19807.835
19,20191226,300141.SZ,6.5,6.67,6.48,6.65,6.55,0.10000000000000053,1.5267,26990.51,17837.46,1.6303,0.76,6.508,30130.82,6.518,27720.085,6.4085,18940.9295
20,20191225,300141.SZ,6.57,6.66,6.52,6.55,6.57,-0.020000000000000462,-0.3044,32118.0,21161.493,1.94,0.99,6.518,35331.768,6.484,25870.084,6.384,18044.354
21,20191224,300141.SZ,6.3,6.71,6.25,6.57,6.28,0.29000000000000004,4.6178,39527.59,25767.818,2.3876,1.36,6.514,32377.368,6.459,23714.584,6.3655,16825.454
22,20191223,300141.SZ,6.5,6.52,6.27,6.28,6.49,-0.20999999999999996,-3.2357,23144.5,14779.794,1.398,0.83,6.51,29140.65,6.442,20936.525,6.346,15240.85
23,20191220,300141.SZ,6.68,6.73,6.49,6.49,6.7,-0.20999999999999996,-3.1343,28873.5,19049.894,1.7441,1.14,6.546,28025.55,6.45,19824.075,6.342,14480.3005
24,20191219,300141.SZ,6.53,6.86,6.53,6.7,6.53,0.16999999999999993,2.6034,52995.25,35332.062,3.2011,3.23,6.528,25309.35,6.436,17923.628,6.33,13966.0755
25,20191218,300141.SZ,6.55,6.6,6.49,6.53,6.55,-0.019999999999999574,-0.3053,17346.0,11349.024,1.0478,1.15,6.45,16408.4,6.4,13893.203,6.3095,11820.1735
26,20191217,300141.SZ,6.48,6.58,6.47,6.55,6.46,0.08999999999999986,1.3932,23344.0,15289.78,1.4101,1.83,6.404,15051.8,6.378,13203.249,6.299,11673.501
27,20191216,300141.SZ,6.45,6.47,6.34,6.46,6.4,0.05999999999999961,0.9375,17569.0,11288.718,1.0612,1.51,6.374,12732.4,6.35,11781.824,6.2905,11370.5285
28,20191213,300141.SZ,6.35,6.43,6.33,6.4,6.31,0.09000000000000075,1.4263,15292.5,9765.029,0.9237,1.45,6.354,11622.6,6.325,10958.074,6.2775,11180.4035
29,20191212,300141.SZ,6.34,6.35,6.3,6.31,6.3,0.009999999999999787,0.1587,8490.5,5367.556,0.5129,0.75,6.344,10537.906,6.299,10161.774,6.266,11103.938
30,20191211,300141.SZ,6.4,6.4,6.3,6.3,6.4,-0.10000000000000053,-1.5625,10563.0,6692.29,0.638,0.93,6.35,11378.006,6.284,10218.624,6.267,11125.399
31,20191210,300141.SZ,6.32,6.4,6.31,6.4,6.36,0.040000000000000036,0.6289,11747.0,7487.661,0.7096,1.08,6.352,11354.698,6.272,9936.324,6.2675,11124.949
32,20191209,300141.SZ,6.36,6.42,6.36,6.36,6.35,0.010000000000000675,0.1575,12020.0,7679.642,0.7261,1.17,6.326,10831.248,6.25,9545.175,6.265,11043.774
33,20191206,300141.SZ,6.35,6.38,6.3,6.35,6.34,0.009999999999999787,0.1577,9869.03,6256.142,0.5961,1.01,6.296,10293.548,6.234,9136.526,6.263,11228.706
