,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,300431.SZ,3.22,3.22,3.0,3.06,3.21,-0.1499999999999999,-4.6729,131396.76,40863.273,5.4038,1.02,3.236,133142.022,3.345,136646.853,3.508,211206.918
1,20200122,300431.SZ,3.29,3.31,3.15,3.21,3.33,-0.1200000000000001,-3.6036,134653.82,43254.154,5.5378,1.08,3.298,129076.21,3.403,136863.468,3.54,229512.881
2,20200121,300431.SZ,3.26,3.51,3.26,3.33,3.28,0.050000000000000266,1.5244,167016.94,56297.665,6.8688,1.44,3.342,125189.366,3.441,144080.06,3.5655,242421.9005
3,20200120,300431.SZ,3.3,3.3,3.23,3.28,3.3,-0.020000000000000018,-0.6061,101018.19,33037.206,4.1545,0.8,3.37,116361.418,3.48,150811.239,3.568,253167.2475
4,20200117,300431.SZ,3.4,3.42,3.3,3.3,3.37,-0.07000000000000028,-2.0772,131624.4,44111.191,5.4132,0.94,3.412,126387.256,3.52,166156.824,3.587,279637.7755
5,20200116,300431.SZ,3.41,3.47,3.37,3.37,3.43,-0.06000000000000005,-1.7493,111067.7,37783.334,4.5678,0.77,3.454,140151.684,3.561,187912.011,3.6205,305273.9245
6,20200115,300431.SZ,3.48,3.53,3.42,3.43,3.47,-0.040000000000000036,-1.1527,115219.6,39930.986,4.7385,0.71,3.508,144650.726,3.606,219501.708,3.6325,320029.5165
7,20200114,300431.SZ,3.49,3.56,3.47,3.47,3.49,-0.020000000000000018,-0.5731,122877.2,43122.384,5.0535,0.66,3.54,162970.754,3.628,230738.29,3.625,326246.6405
8,20200113,300431.SZ,3.51,3.53,3.41,3.49,3.51,-0.019999999999999574,-0.5698,151147.38,52205.598,6.2161,0.73,3.59,185261.06,3.644,250331.305,3.6135,330136.4
9,20200110,300431.SZ,3.63,3.65,3.49,3.51,3.64,-0.13000000000000034,-3.5714,200446.54,70910.213,8.2436,0.85,3.628,205926.392,3.65,267023.439,3.6,339668.6735
10,20200109,300431.SZ,3.6,3.69,3.6,3.64,3.59,0.050000000000000266,1.3928,133562.91,48615.678,5.4929,0.45,3.668,235672.338,3.671,285766.983,3.5775,337812.9905
11,20200108,300431.SZ,3.73,3.74,3.57,3.59,3.72,-0.13000000000000034,-3.4946,206819.74,75228.73,8.5057,0.69,3.704,294352.69,3.677,322162.294,3.5525,337491.8865
12,20200107,300431.SZ,3.67,3.74,3.65,3.72,3.68,0.040000000000000036,1.087,234328.73,86723.668,9.637,0.74,3.716,298505.826,3.69,340763.741,3.5325,337701.5455
13,20200106,300431.SZ,3.66,3.76,3.6,3.68,3.71,-0.029999999999999805,-0.8086,254474.04,93649.148,10.4655,0.78,3.698,315401.55,3.656,355523.256,3.506,335017.0445
14,20200103,300431.SZ,3.8,3.85,3.68,3.71,3.82,-0.10999999999999988,-2.8796,349176.27,130660.876,14.3603,1.04,3.672,328120.486,3.654,393118.727,3.4805,327998.7915
15,20200102,300431.SZ,3.69,3.94,3.61,3.82,3.65,0.16999999999999993,4.6575,426964.67,161592.293,17.5594,1.22,3.674,335861.628,3.68,422635.838,3.4545,318163.545
16,20191231,300431.SZ,3.61,3.71,3.55,3.65,3.63,0.020000000000000018,0.551,227585.42,82348.698,9.3597,0.59,3.65,349971.898,3.659,420557.325,3.4245,303779.9425
17,20191230,300431.SZ,3.42,3.78,3.41,3.63,3.55,0.08000000000000007,2.2535,318807.35,116078.453,13.1113,0.81,3.664,383021.656,3.622,421754.991,3.405,301077.43
18,20191227,300431.SZ,3.78,3.79,3.55,3.55,3.72,-0.17000000000000037,-4.5699,318068.72,115971.76,13.0809,0.69,3.614,395644.962,3.583,409941.495,3.3875,291700.491
19,20191226,300431.SZ,3.61,3.81,3.52,3.72,3.7,0.020000000000000018,0.5405,387881.98,143176.074,15.9521,0.76,3.636,458116.968,3.55,412313.908,3.377,287920.036
20,20191225,300431.SZ,3.76,3.96,3.62,3.7,3.72,-0.020000000000000018,-0.5376,497516.02,189945.853,20.4609,1.01,3.686,509410.048,3.484,389858.998,3.3635,275975.9245
21,20191224,300431.SZ,3.38,3.72,3.3,3.72,3.38,0.3400000000000003,10.0592,392834.21,139739.238,16.1558,0.85,3.668,491142.752,3.428,352821.479,3.357,259333.548
22,20191223,300431.SZ,3.51,3.59,3.36,3.38,3.66,-0.28000000000000025,-7.6503,381923.88,132117.58,15.7071,0.9,3.58,460488.326,3.375,334639.35,3.3545,251897.8535
23,20191220,300431.SZ,3.97,4.09,3.57,3.66,3.97,-0.31000000000000005,-7.8086,630428.75,238693.643,25.9271,1.72,3.552,424238.028,3.356,314510.833,3.36,242887.4115
