,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,603587.SH,26.49,27.18,25.3,25.69,26.98,-1.2899999999999991,-4.7813,30173.41,79057.1,3.1761,1.42,27.076,23638.772,27.394,23822.542,26.472,22796.223
1,20200122,603587.SH,27.2,27.3,26.66,26.98,27.43,-0.4499999999999993,-1.6405,22277.94,60042.903,2.345,1.13,27.464,21227.266,27.442,22457.07,26.4265,22837.516
2,20200121,603587.SH,27.3,27.79,27.08,27.43,27.53,-0.10000000000000142,-0.3632,23911.48,65520.719,2.517,1.26,27.666,19789.026,27.333,22804.288,26.3375,23265.598
3,20200120,603587.SH,27.94,27.94,27.25,27.53,27.75,-0.21999999999999886,-0.7928,19578.08,53823.056,2.0609,0.87,27.752,19047.438,27.212,23222.216,26.256,24231.5165
4,20200117,603587.SH,27.95,28.2,27.53,27.75,27.63,0.120000000000001,0.4343,22252.95,62092.636,2.3424,0.93,27.878,22478.054,27.007,22856.974,26.131,24987.5935
5,20200116,603587.SH,27.67,28.15,27.45,27.63,27.99,-0.35999999999999943,-1.2862,18115.88,50079.027,1.9069,0.76,27.712,24006.312,26.78,22919.285,25.9605,24575.0485
6,20200115,603587.SH,27.99,28.27,27.48,27.99,27.86,0.129999999999999,0.4666,15086.74,42020.332,1.5881,0.58,27.42,23686.874,26.609,23454.578,25.7915,24733.928
7,20200114,603587.SH,28.05,28.3,27.75,27.86,28.16,-0.3000000000000007,-1.0653,20203.54,56555.986,2.1267,0.74,27.0,25819.55,26.348,23922.166,25.6275,24696.5055
8,20200113,603587.SH,26.81,28.4,26.81,28.16,26.92,1.2399999999999984,4.6062,36731.16,102075.073,3.8664,1.58,26.672,27396.994,26.05,24080.98,25.465,24599.9185
9,20200110,603587.SH,26.2,27.15,26.2,26.92,26.17,0.75,2.8659,29894.24,79855.084,3.1468,1.37,26.136,23235.894,25.714,22560.301,25.28,23489.4925
10,20200109,603587.SH,26.18,26.44,26.0,26.17,25.89,0.28000000000000114,1.0815,16518.69,43251.632,1.7388,0.71,25.848,21832.258,25.55,21769.904,25.1545,22864.3305
11,20200108,603587.SH,26.1,26.48,25.8,25.89,26.22,-0.3299999999999983,-1.2586,25750.12,67239.445,2.7105,1.17,25.798,23222.282,25.411,23217.962,25.0905,22619.9325
12,20200107,603587.SH,25.56,26.34,25.37,26.22,25.48,0.7399999999999984,2.9042,28090.76,72858.883,2.9569,1.35,25.696,22024.782,25.342,23726.908,25.052,21891.649
13,20200106,603587.SH,25.48,25.65,25.27,25.48,25.48,0.0,0.0,15925.66,40589.932,1.6764,0.73,25.428,20764.966,25.3,25240.817,24.9965,21354.4485
14,20200103,603587.SH,25.8,26.24,25.42,25.48,25.92,-0.4400000000000013,-1.6975,22876.06,58760.738,2.408,1.05,25.292,21884.708,25.255,27118.213,24.9695,21355.706
15,20200102,603587.SH,25.52,25.99,25.11,25.92,25.38,0.5400000000000027,2.1277,23468.81,60340.696,2.4704,1.01,25.252,21707.55,25.141,26230.812,24.933,20957.9165
16,20191231,603587.SH,24.97,25.47,24.66,25.38,24.88,0.5,2.0096,19762.62,49785.458,2.0803,0.78,25.024,23213.642,24.974,26013.278,24.8625,20881.908
17,20191230,603587.SH,24.7,24.93,24.06,24.88,24.8,0.0799999999999983,0.3226,21791.68,53361.428,2.2939,0.73,24.988,25429.034,24.907,25470.845,24.7805,20658.3775
18,20191227,603587.SH,25.1,25.5,24.8,24.8,25.28,-0.4800000000000004,-1.8987,21524.37,54065.262,2.2657,0.67,25.172,29716.668,24.88,25118.857,24.6965,20097.5865
