,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,601606.SH,11.17,11.45,10.83,11.08,11.2,-0.11999999999999922,-1.0714,79913.57,89236.072,2.6841,1.06,11.274,73296.736,11.53,103089.28,11.4745,136092.17
1,20200122,601606.SH,11.07,11.34,11.01,11.2,11.12,0.08000000000000007,0.7194,57650.57,64702.217,1.9364,0.67,11.376,75294.198,11.657,129222.817,11.47,135996.542
2,20200121,601606.SH,11.48,11.48,11.1,11.12,11.52,-0.40000000000000036,-3.4722,86407.5,97404.217,2.9022,0.89,11.46,86133.802,11.811,162741.43,11.4705,137684.354
3,20200120,601606.SH,11.38,11.55,11.26,11.52,11.45,0.07000000000000028,0.6114,65781.27,75357.948,2.2095,0.62,11.628,96773.288,11.857,166560.117,11.484,136248.779
4,20200117,601606.SH,11.61,11.62,11.42,11.45,11.59,-0.14000000000000057,-1.2079,76730.77,88220.125,2.5772,0.58,11.69,105688.53,11.879,184067.692,11.493,136287.844
5,20200116,601606.SH,11.63,11.84,11.58,11.59,11.62,-0.02999999999999936,-0.2582,89900.88,105126.158,3.0196,0.49,11.786,132881.824,11.873,192084.33,11.5115,137648.1285
6,20200115,601606.SH,11.89,11.89,11.57,11.62,11.96,-0.34000000000000163,-2.8428,111848.59,130652.195,3.7568,0.47,11.938,183151.436,11.824,191850.205,11.5095,138978.5095
7,20200114,601606.SH,11.83,11.97,11.64,11.96,11.83,0.13000000000000078,1.0989,139604.93,164873.018,4.689,0.59,12.162,239349.058,11.756,187842.746,11.509,138035.9605
8,20200113,601606.SH,11.91,11.94,11.63,11.83,11.93,-0.09999999999999964,-0.8382,110357.48,129787.931,3.7067,0.42,12.086,236346.946,11.643,179844.626,11.4855,136454.0545
9,20200110,601606.SH,12.16,12.21,11.81,11.93,12.35,-0.41999999999999993,-3.4008,212697.24,254323.755,7.144,0.85,12.068,262446.854,11.534,178295.635,11.4455,133077.8805
10,20200109,601606.SH,12.18,12.69,12.16,12.35,12.74,-0.39000000000000057,-3.0612,341248.94,422958.573,11.4618,1.7,11.96,251286.836,11.419,169095.06,11.398,125047.9685
11,20200108,601606.SH,12.74,12.74,12.12,12.74,11.58,1.1600000000000001,10.0173,392836.7,497349.198,13.1945,2.88,11.71,200548.974,11.283,142770.267,11.3255,109258.8415
