,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,600130.SH,3.77,3.8,3.62,3.65,3.81,-0.16000000000000014,-4.1995,140524.02,52064.097,1.8297,1.09,3.776,134105.37,3.87,259631.208,3.8355,224813.656
1,20200122,600130.SH,3.72,3.83,3.65,3.81,3.74,0.06999999999999984,1.8717,158576.85,59892.831,2.0648,1.25,3.814,128728.166,3.908,281868.421,3.8385,224854.2685
2,20200121,600130.SH,3.83,3.84,3.7,3.74,3.85,-0.10999999999999988,-2.8571,156263.35,58712.494,2.0347,1.05,3.832,127004.854,3.913,288410.547,3.8305,221570.783
3,20200120,600130.SH,3.82,3.87,3.79,3.85,3.83,0.020000000000000018,0.5222,115197.4,44102.156,1.5,0.5,3.864,148756.374,3.933,299196.35,3.8225,219591.8865
4,20200117,600130.SH,3.87,3.87,3.81,3.83,3.84,-0.009999999999999787,-0.2604,99965.23,38342.201,1.3016,0.26,3.888,232088.826,3.935,312002.166,3.814,221493.517
5,20200116,600130.SH,3.88,3.92,3.84,3.84,3.9,-0.06000000000000005,-1.5385,113638.0,44022.529,1.4797,0.26,3.964,385157.046,3.934,327807.897,3.812,225097.76
6,20200115,600130.SH,3.91,3.93,3.85,3.9,3.9,0.0,0.0,149960.29,58461.785,1.9526,0.33,4.002,435008.676,3.925,332173.869,3.8095,233547.006
7,20200114,600130.SH,3.95,3.97,3.89,3.9,3.97,-0.07000000000000028,-1.7632,265020.95,104015.77,3.4508,0.59,3.994,449816.24,3.901,326181.961,3.8015,235382.927
8,20200113,600130.SH,4.0,4.0,3.89,3.97,4.21,-0.23999999999999977,-5.7007,531859.66,209745.996,6.9253,1.36,4.002,449636.326,3.877,310069.127,3.7915,229680.4575
9,20200110,600130.SH,4.43,4.43,4.11,4.21,4.03,0.17999999999999972,4.4665,865306.33,370660.575,11.267,3.2,3.982,391915.506,3.849,266975.161,3.776,211164.2045
10,20200109,600130.SH,3.9,4.04,3.87,4.03,3.86,0.17000000000000037,4.4041,362896.15,144174.126,4.7252,1.58,3.904,270458.748,3.801,189996.104,3.75,180434.2885
11,20200108,600130.SH,3.91,3.98,3.85,3.86,3.94,-0.08000000000000007,-2.0305,223998.11,87712.416,2.9166,1.11,3.848,229339.062,3.769,167840.116,3.728,167328.814
12,20200107,600130.SH,3.87,4.0,3.85,3.94,3.87,0.06999999999999984,1.8088,264121.38,103910.802,3.4391,1.55,3.808,202547.682,3.748,154731.019,3.7175,164508.628
13,20200106,600130.SH,3.92,3.95,3.83,3.87,3.82,0.050000000000000266,1.3089,243255.56,94706.078,3.1674,1.71,3.752,170501.928,3.712,139987.423,3.699,156187.718
14,20200103,600130.SH,3.75,3.96,3.74,3.82,3.75,0.06999999999999984,1.8667,258022.54,99215.407,3.3597,2.36,3.716,142034.816,3.693,130984.868,3.684,148552.022
15,20200102,600130.SH,3.69,3.79,3.67,3.75,3.66,0.08999999999999986,2.459,157297.72,58680.659,2.0481,1.48,3.698,109533.46,3.69,122387.623,3.6715,140471.02
16,20191231,600130.SH,3.66,3.72,3.64,3.66,3.66,0.0,0.0,90041.21,33054.635,1.1724,0.84,3.69,106341.17,3.694,134920.143,3.661,136076.2085
17,20191230,600130.SH,3.68,3.69,3.58,3.66,3.69,-0.029999999999999805,-0.813,103892.61,37910.882,1.3528,0.95,3.688,106914.356,3.702,144583.893,3.6555,136784.224
18,20191227,600130.SH,3.73,3.77,3.67,3.69,3.73,-0.040000000000000036,-1.0724,100920.0,37703.647,1.3141,0.84,3.672,109472.918,3.706,149291.788,3.647,135624.166
19,20191226,600130.SH,3.71,3.74,3.68,3.73,3.71,0.020000000000000018,0.5391,95515.76,35459.394,1.2437,0.71,3.67,119934.92,3.703,155353.248,3.6345,133623.3495
20,20191225,600130.SH,3.63,3.76,3.61,3.71,3.65,0.06000000000000005,1.6438,141336.27,52359.786,1.8403,0.86,3.682,135241.786,3.699,170872.473,3.6185,131970.823
21,20191224,600130.SH,3.59,3.65,3.56,3.65,3.58,0.06999999999999984,1.9553,92907.14,33469.354,1.2097,0.51,3.698,163499.116,3.687,166817.512,3.6075,128694.3515
22,20191223,600130.SH,3.63,3.68,3.57,3.58,3.68,-0.10000000000000009,-2.7174,116685.42,42302.214,1.5193,0.62,3.716,182253.43,3.687,174286.237,3.5995,127180.0855
23,20191220,600130.SH,3.78,3.8,3.68,3.68,3.79,-0.10999999999999988,-2.9024,153230.01,57150.268,1.9952,0.8,3.74,189110.658,3.686,172388.013,3.595,125919.2535
24,20191219,600130.SH,3.78,3.83,3.72,3.79,3.79,0.0,0.0,172050.09,64793.386,2.2402,0.83,3.736,190771.576,3.675,166119.176,3.5875,124702.58
25,20191218,600130.SH,3.73,3.94,3.71,3.79,3.74,0.04999999999999982,1.3369,282622.92,107801.119,3.68,1.66,3.716,206503.16,3.653,158554.417,3.579,123571.1605
26,20191217,600130.SH,3.71,3.79,3.69,3.74,3.7,0.040000000000000036,1.0811,186678.71,69689.324,2.4307,1.12,3.676,170135.908,3.628,137232.274,3.5695,119191.4655
27,20191216,600130.SH,3.64,3.72,3.62,3.7,3.66,0.040000000000000036,1.0929,150971.56,55529.764,1.9658,0.97,3.658,166319.044,3.609,128984.555,3.562,123066.6
28,20191213,600130.SH,3.67,3.71,3.6,3.66,3.69,-0.029999999999999805,-0.813,161534.6,58776.671,2.1033,1.14,3.632,155665.368,3.588,121956.544,3.5495,125582.5415
29,20191212,600130.SH,3.58,3.85,3.57,3.69,3.59,0.10000000000000009,2.7855,250708.01,92587.273,3.2644,2.27,3.614,141466.776,3.566,111893.451,3.5415,137838.8125
30,20191211,600130.SH,3.63,3.66,3.58,3.59,3.65,-0.06000000000000005,-1.6438,100786.66,36396.755,1.3123,0.97,3.59,110605.674,3.538,93069.173,3.5385,136359.054
31,20191210,600130.SH,3.58,3.67,3.54,3.65,3.57,0.08000000000000007,2.2409,167594.39,60631.087,2.1822,1.83,3.58,104328.64,3.528,90571.191,3.524,133873.4965
32,20191209,600130.SH,3.56,3.62,3.54,3.57,3.57,0.0,0.0,97703.18,34923.048,1.2722,1.11,3.56,91650.066,3.512,80073.934,3.508,128017.313
33,20191206,600130.SH,3.56,3.58,3.53,3.57,3.57,0.0,0.0,90541.64,32200.182,1.1789,1.1,3.544,88247.72,3.504,79450.494,3.4945,126943.654
34,20191205,600130.SH,3.54,3.6,3.51,3.57,3.54,0.029999999999999805,0.8475,96402.5,34354.255,1.2552,1.28,3.518,82320.126,3.5,83285.984,3.4865,124896.983
35,20191204,600130.SH,3.54,3.58,3.5,3.54,3.55,-0.009999999999999787,-0.2817,69401.49,24500.259,0.9037,0.9,3.486,75532.672,3.505,88587.904,3.479,122690.608
36,20191203,600130.SH,3.46,3.57,3.42,3.55,3.49,0.05999999999999961,1.7192,104201.52,36484.855,1.3568,1.52,3.476,76813.742,3.511,101150.657,3.473,123186.206
