,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,600268.SH,5.23,5.3,5.03,5.08,5.27,-0.1899999999999995,-3.6053,89481.45,46084.858,1.4086,1.07,5.258,80509.348,5.402,119773.667,5.3735,123318.8865
1,20200122,600268.SH,5.21,5.3,5.19,5.27,5.23,0.03999999999999915,0.7648,58997.39,30974.832,0.9287,0.64,5.332,83556.062,5.458,128506.803,5.385,123197.685
2,20200121,600268.SH,5.39,5.4,5.22,5.23,5.4,-0.16999999999999993,-3.1481,68076.4,36040.448,1.0717,0.6,5.386,92613.416,5.488,151134.635,5.3845,123633.943
3,20200120,600268.SH,5.31,5.43,5.31,5.4,5.31,0.09000000000000075,1.6949,71982.02,38597.403,1.1331,0.47,5.466,113760.406,5.509,156035.611,5.3825,126392.1375
4,20200117,600268.SH,5.48,5.49,5.27,5.31,5.45,-0.14000000000000057,-2.5688,114009.48,61092.258,1.7947,0.72,5.526,154724.992,5.506,160881.487,5.383,133025.173
5,20200116,600268.SH,5.55,5.58,5.39,5.45,5.54,-0.08999999999999986,-1.6245,104715.02,57187.474,1.6484,0.6,5.546,159037.986,5.514,163176.824,5.3965,142815.451
6,20200115,600268.SH,5.63,5.65,5.48,5.54,5.63,-0.08999999999999986,-1.5986,104284.16,57631.09,1.6416,0.5,5.584,173457.544,5.496,161549.817,5.394,146695.2295
7,20200114,600268.SH,5.72,5.79,5.61,5.63,5.7,-0.07000000000000028,-1.2281,173811.35,98722.318,2.7361,0.88,5.59,209655.854,5.456,156871.089,5.3915,151163.463
8,20200113,600268.SH,5.47,5.76,5.45,5.7,5.41,0.29000000000000004,5.3604,276804.95,156863.317,4.3574,1.66,5.552,198310.816,5.409,149068.648,5.385,152525.419
9,20200110,600268.SH,5.57,5.61,5.41,5.41,5.64,-0.22999999999999954,-4.078,135574.45,74340.008,2.1342,0.81,5.486,167037.982,5.357,132119.931,5.373,153498.703
10,20200109,600268.SH,5.61,5.76,5.51,5.64,5.57,0.0699999999999994,1.2567,176812.81,99506.585,2.7834,1.18,5.482,167315.662,5.345,126864.106,5.38,169142.1455
11,20200108,600268.SH,5.4,5.72,5.36,5.57,5.44,0.1299999999999999,2.3897,285275.71,159417.622,4.4908,2.74,5.408,149642.09,5.312,117888.567,5.3715,184193.2635
12,20200107,600268.SH,5.39,5.48,5.35,5.44,5.37,0.07000000000000028,1.3035,117086.16,63402.951,1.8432,1.17,5.322,104086.324,5.281,96133.251,5.3475,174443.5165
13,20200106,600268.SH,5.31,5.43,5.3,5.37,5.39,-0.019999999999999574,-0.3711,120440.78,64588.518,1.896,1.24,5.266,99826.48,5.256,96748.664,5.33,175600.93
14,20200103,600268.SH,5.3,5.48,5.25,5.39,5.27,0.1200000000000001,2.277,136962.85,73330.521,2.1561,1.58,5.228,97201.88,5.26,105168.859,5.31,172493.3
15,20200102,600268.SH,5.18,5.29,5.15,5.27,5.14,0.1299999999999999,2.5292,88444.95,46308.925,1.3923,1.03,5.208,86412.55,5.279,122454.078,5.2885,168307.2405
16,20191231,600268.SH,5.2,5.21,5.1,5.14,5.16,-0.020000000000000462,-0.3876,57496.88,29578.996,0.9051,0.65,5.216,86135.044,5.292,131840.642,5.272,167312.6635
