,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,300701.SZ,31.2,32.29,30.3,30.53,31.65,-1.1199999999999974,-3.5387,44579.27,140410.218,12.0893,1.33,31.272,32806.616,31.601,41438.757,32.217,64918.162
1,20200122,300701.SZ,31.2,31.97,30.41,31.65,31.44,0.2099999999999973,0.6679,37743.67,117929.383,10.2356,0.99,31.62,33641.842,31.722,41028.885,32.2655,68280.803
2,20200121,300701.SZ,31.61,31.61,30.9,31.44,31.58,-0.13999999999999702,-0.4433,22809.05,71229.196,6.1855,0.52,31.562,38084.284,31.662,44003.395,32.3005,75192.023
3,20200120,300701.SZ,30.8,31.66,30.61,31.58,31.16,0.41999999999999815,1.3479,25594.1,80321.881,6.9408,0.54,31.774,44168.868,31.858,49270.966,32.2775,75891.7655
4,20200117,300701.SZ,32.3,32.6,31.05,31.16,32.27,-1.110000000000003,-3.4397,33306.99,105537.303,9.0324,0.67,31.872,47621.42,31.926,54247.915,32.1065,78145.9835
5,20200116,300701.SZ,31.05,32.29,30.52,32.27,31.36,0.9100000000000037,2.9018,48755.4,154209.626,13.2218,1.01,31.93,50070.898,32.13,59145.317,31.9165,78690.76
6,20200115,300701.SZ,32.5,32.85,30.06,31.36,32.5,-1.1400000000000006,-3.5077,59955.88,187312.394,16.2593,1.2,31.824,48415.928,32.313,64274.994,31.679,79574.2455
7,20200114,300701.SZ,32.1,33.35,32.1,32.5,32.07,0.4299999999999997,1.3408,53231.97,173759.866,14.4358,0.98,31.762,49922.506,32.41,65793.723,31.4495,78970.0465
8,20200113,300701.SZ,31.52,32.07,30.3,32.07,31.45,0.620000000000001,1.9714,42856.86,134531.394,11.6222,0.7,31.942,54373.064,32.3,69973.661,31.1565,79018.668
9,20200110,300701.SZ,32.0,32.77,31.4,31.45,31.74,-0.28999999999999915,-0.9137,45554.38,146351.823,12.3538,0.67,31.98,60874.41,32.513,81708.196,30.844,78359.65
10,20200109,300701.SZ,31.58,31.94,31.2,31.74,31.05,0.6899999999999977,2.2222,40480.55,127856.124,10.9778,0.51,32.33,68219.736,32.833,88397.567,30.564,77994.831
11,20200108,300701.SZ,32.7,32.75,31.0,31.05,33.4,-2.349999999999998,-7.0359,67488.77,215344.005,18.3021,0.83,32.802,80134.06,32.809,95532.721,30.2565,78085.4035
12,20200107,300701.SZ,32.26,33.53,31.8,33.4,32.26,1.1400000000000006,3.5338,75484.76,247498.087,20.4705,0.88,33.058,81664.94,32.939,106380.651,30.021,77923.99
13,20200106,300701.SZ,32.34,32.66,31.4,32.26,33.2,-0.9400000000000048,-2.8313,75363.59,241877.052,20.4377,0.73,32.658,85574.258,32.697,102512.565,29.6185,76490.4485
14,20200103,300701.SZ,33.6,35.5,33.1,33.2,34.1,-0.8999999999999986,-2.6393,82281.01,280410.162,22.3136,0.76,33.046,102541.982,32.287,102044.052,29.2805,75421.769
15,20200102,300701.SZ,32.06,35.56,31.62,34.1,32.33,1.7700000000000031,5.4748,100052.17,336527.96,27.1329,0.9,33.336,108575.398,31.703,98236.203,28.855,72832.6685
16,20191231,300701.SZ,31.15,32.75,30.9,32.33,31.4,0.9299999999999997,2.9618,75143.17,237989.18,20.3779,0.57,32.816,110931.382,31.045,94873.497,28.356,68783.41
17,20191230,300701.SZ,32.11,32.8,30.8,31.4,34.2,-2.8000000000000043,-8.1871,95031.35,301293.391,25.7713,0.8,32.82,131096.362,30.489,92146.37,27.9675,66362.8015
18,20191227,300701.SZ,34.98,37.75,33.33,34.2,34.65,-0.44999999999999574,-1.2987,160202.21,563344.615,43.4448,1.58,32.736,119450.872,30.013,88063.675,27.6355,63187.484
19,20191226,300701.SZ,31.18,34.65,30.3,34.65,31.5,3.1499999999999986,10.0,112448.09,368086.727,30.4945,1.28,31.528,101546.122,29.175,75011.104,27.1785,57015.6985
20,20191225,300701.SZ,29.3,31.87,29.3,31.5,32.35,-0.8500000000000014,-2.6275,111832.09,343321.756,30.3274,1.42,30.07,87897.008,28.295,67592.095,26.6955,53448.069
21,20191224,300701.SZ,32.21,34.08,29.72,32.35,30.98,1.370000000000001,4.4222,175968.07,566057.767,47.7203,3.31,29.274,78815.612,27.704,60638.086,26.3295,48543.0395
22,20191223,300701.SZ,30.0,30.98,29.0,30.98,28.16,2.8200000000000003,10.0142,36803.9,112565.096,9.9808,0.65,28.158,53196.378,27.103,49467.329,25.923,40583.761
23,20191220,300701.SZ,27.24,28.67,26.81,28.16,27.36,0.8000000000000007,2.924,70678.46,197365.929,19.1671,1.46,27.29,56676.478,26.54,50468.332,25.589,39989.616
