,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,600755.SH,7.16,7.18,7.01,7.04,7.24,-0.20000000000000018,-2.7624,179717.95,127522.892,0.9714,1.31,7.248,145393.53,7.379,194404.471,7.385,192699.5835
1,20200122,600755.SH,7.21,7.27,7.11,7.24,7.21,0.03000000000000025,0.4161,133910.84,96175.59,0.7238,1.0,7.31,137064.94,7.435,208231.998,7.3905,187579.1465
2,20200121,600755.SH,7.38,7.38,7.2,7.21,7.38,-0.16999999999999993,-2.3035,193425.19,140369.045,1.0455,1.44,7.352,134236.284,7.448,215199.015,7.3875,184321.022
3,20200120,600755.SH,7.37,7.39,7.32,7.38,7.37,0.009999999999999787,0.1357,127306.6,93546.949,0.6881,0.67,7.41,134454.072,7.479,213400.65,7.384,181646.957
4,20200117,600755.SH,7.37,7.44,7.35,7.37,7.35,0.020000000000000462,0.2721,92607.07,68452.831,0.5006,0.38,7.444,189943.348,7.49,229776.704,7.3805,180737.6525
5,20200116,600755.SH,7.45,7.47,7.34,7.35,7.45,-0.10000000000000053,-1.3423,138075.0,102147.275,0.7463,0.49,7.51,243415.412,7.494,236672.783,7.38,180518.1275
6,20200115,600755.SH,7.49,7.51,7.41,7.45,7.5,-0.04999999999999982,-0.6667,119767.56,89118.202,0.6474,0.4,7.56,279399.056,7.5,242565.458,7.3795,180720.0855
7,20200114,600755.SH,7.53,7.57,7.48,7.5,7.55,-0.04999999999999982,-0.6623,194514.13,146223.61,1.0514,0.67,7.544,296161.746,7.489,243937.262,7.377,187414.0565
8,20200113,600755.SH,7.48,7.56,7.38,7.55,7.7,-0.15000000000000036,-1.9481,404752.98,301783.921,2.1878,1.5,7.548,292347.228,7.474,242665.229,7.366,188505.1865
9,20200110,600755.SH,7.63,7.75,7.53,7.7,7.6,0.10000000000000053,1.3158,359967.39,274791.779,1.9457,1.57,7.536,269610.06,7.439,216230.188,7.349,177453.3465
10,20200109,600755.SH,7.42,7.65,7.42,7.6,7.37,0.22999999999999954,3.1208,317993.22,239444.401,1.7188,1.55,7.478,229930.154,7.391,190994.696,7.317,163305.0765
11,20200108,600755.SH,7.47,7.49,7.34,7.37,7.52,-0.14999999999999947,-1.9947,203581.01,150935.123,1.1004,1.06,7.44,205731.86,7.346,166926.295,7.2935,153890.2765
12,20200107,600755.SH,7.47,7.53,7.44,7.52,7.49,0.02999999999999936,0.4005,175441.54,131395.835,0.9483,0.91,7.434,191712.778,7.327,153443.029,7.2785,147425.349
13,20200106,600755.SH,7.35,7.57,7.34,7.49,7.41,0.08000000000000007,1.0796,291067.14,217190.209,1.5733,1.79,7.4,192983.23,7.289,149893.264,7.2555,143188.967
14,20200103,600755.SH,7.41,7.48,7.39,7.41,7.41,0.0,0.0,161567.86,119913.8,0.8733,1.06,7.342,162850.316,7.271,131698.601,7.234,132477.6185
15,20200102,600755.SH,7.39,7.46,7.37,7.41,7.34,0.07000000000000028,0.9537,197001.75,146221.451,1.0648,1.54,7.304,152059.238,7.266,124363.472,7.2145,128774.897
16,20191231,600755.SH,7.31,7.36,7.3,7.34,7.35,-0.009999999999999787,-0.1361,133485.6,97816.847,0.7215,1.16,7.252,128120.73,7.259,118874.713,7.192,122129.951
17,20191230,600755.SH,7.18,7.37,7.15,7.35,7.2,0.14999999999999947,2.0833,181793.8,132376.65,0.9826,1.7,7.22,115173.28,7.265,130890.851,7.1745,118794.1365
18,20191227,600755.SH,7.22,7.31,7.19,7.2,7.22,-0.019999999999999574,-0.277,140402.57,101877.95,0.7589,1.4,7.178,106803.298,7.258,134345.144,7.1565,112634.041
19,20191226,600755.SH,7.15,7.23,7.15,7.22,7.15,0.0699999999999994,0.979,107612.47,77328.889,0.5817,1.11,7.2,100546.886,7.259,138676.505,7.1455,108537.5075
20,20191225,600755.SH,7.19,7.2,7.13,7.15,7.18,-0.02999999999999936,-0.4178,77309.21,55366.262,0.4179,0.71,7.228,96667.706,7.243,135615.457,7.1325,105909.134
21,20191224,600755.SH,7.16,7.2,7.13,7.18,7.14,0.040000000000000036,0.5602,68748.35,49268.844,0.3716,0.47,7.266,109628.696,7.241,140854.258,7.1255,105193.723
22,20191223,600755.SH,7.3,7.3,7.12,7.14,7.31,-0.16999999999999993,-2.3256,139943.89,100929.368,0.7564,0.86,7.31,146608.422,7.23,141407.669,7.119,105944.439
23,20191220,600755.SH,7.35,7.39,7.29,7.31,7.36,-0.05000000000000071,-0.6793,109120.51,80164.32,0.5898,0.62,7.338,161886.99,7.222,136484.67,7.115,105140.813
24,20191219,600755.SH,7.34,7.38,7.32,7.36,7.34,0.020000000000000462,0.2725,88216.57,64826.598,0.4768,0.51,7.318,176806.124,7.197,133256.636,7.098,103365.5955
25,20191218,600755.SH,7.4,7.44,7.32,7.34,7.4,-0.0600000000000005,-0.8108,142114.16,104728.122,0.7682,0.83,7.258,174563.208,7.163,133186.322,7.079,101343.2805
26,20191217,600755.SH,7.28,7.44,7.25,7.4,7.28,0.1200000000000001,1.6484,253646.98,186609.746,1.371,1.86,7.216,172079.82,7.125,125385.189,7.061,97592.464
27,20191216,600755.SH,7.24,7.28,7.17,7.28,7.21,0.07000000000000028,0.9709,216336.73,156324.267,1.1693,1.95,7.15,136206.916,7.084,106697.422,7.0445,87646.9105
28,20191213,600755.SH,7.1,7.21,7.1,7.21,7.06,0.15000000000000036,2.1246,183716.18,131727.673,0.993,2.05,7.106,111082.35,7.055,90922.938,7.0295,79263.4155
29,20191212,600755.SH,7.11,7.13,7.05,7.06,7.13,-0.07000000000000028,-0.9818,77001.99,54585.413,0.4162,0.84,7.076,89707.148,7.032,78398.51,7.0165,74676.023
30,20191211,600755.SH,7.08,7.16,7.06,7.13,7.07,0.05999999999999961,0.8487,129697.22,92267.217,0.701,1.65,7.068,91809.436,7.022,76202.811,7.017,73255.43
31,20191210,600755.SH,7.05,7.09,7.03,7.07,7.06,0.010000000000000675,0.1416,74282.46,52447.875,0.4015,0.96,7.034,78690.558,7.01,69533.188,7.014,69154.837
32,20191209,600755.SH,7.09,7.11,7.03,7.06,7.06,0.0,0.0,90713.9,64161.237,0.4903,1.28,7.018,77187.928,7.008,70481.209,7.0135,68803.6795
33,20191206,600755.SH,7.02,7.07,7.0,7.06,7.02,0.040000000000000036,0.5698,76840.17,54051.661,0.4153,1.15,7.004,70763.526,7.008,73796.956,7.0135,73130.801
34,20191205,600755.SH,6.97,7.04,6.96,7.02,6.96,0.05999999999999961,0.8621,87513.43,61291.593,0.473,1.44,6.988,67089.872,6.999,73474.555,7.0255,76276.11
35,20191204,600755.SH,6.96,7.0,6.95,6.96,6.99,-0.03000000000000025,-0.4292,64102.83,44676.167,0.3465,1.06,6.976,60596.186,6.995,69500.239,7.0375,75060.491
36,20191203,600755.SH,6.96,7.0,6.94,6.99,6.99,0.0,0.0,66769.31,46542.995,0.3609,1.05,6.986,60375.818,6.997,69799.739,7.052,75519.2005
37,20191202,600755.SH,6.99,7.02,6.96,6.99,6.98,0.009999999999999787,0.1433,58591.89,40957.951,0.3167,0.76,6.998,63774.49,7.005,68596.399,7.0685,77154.9455
38,20191129,600755.SH,6.98,7.02,6.94,6.98,6.96,0.020000000000000462,0.2874,58471.9,40765.827,0.3161,0.73,7.012,76830.386,7.004,67603.893,7.0825,79311.5405
39,20191128,600755.SH,7.01,7.03,6.95,6.96,7.01,-0.04999999999999982,-0.7133,55045.0,38469.404,0.2975,0.7,7.01,79859.238,7.001,70953.536,7.098,81378.1475
40,20191127,600755.SH,7.06,7.07,6.99,7.01,7.05,-0.040000000000000036,-0.5674,63000.99,44314.424,0.3405,0.8,7.014,78404.292,7.012,70308.049,7.1125,82564.933
41,20191126,600755.SH,7.05,7.08,7.02,7.05,7.06,-0.009999999999999787,-0.1416,83762.67,59050.953,0.4528,1.14,7.008,79223.66,7.018,68776.486,,
42,20191125,600755.SH,6.98,7.1,6.96,7.06,6.97,0.08999999999999986,1.2912,123871.37,87255.403,0.6695,2.12,7.012,73418.308,7.019,67126.15,,
43,20191122,600755.SH,6.97,7.05,6.93,6.97,6.98,-0.010000000000000675,-0.1433,73616.16,51396.149,0.3979,1.19,6.996,58377.4,7.019,72464.646,,
44,20191121,600755.SH,6.97,6.98,6.93,6.98,6.98,0.0,0.0,47770.27,33206.862,0.2582,0.77,6.992,62047.834,7.052,79077.665,,
45,20191120,600755.SH,7.06,7.07,6.96,6.98,7.07,-0.08999999999999986,-1.273,67097.83,47006.873,0.3627,1.15,7.01,62211.806,7.08,80620.743,,
46,20191119,600755.SH,7.0,7.07,6.98,7.07,6.98,0.08999999999999986,1.2894,54735.91,38544.557,0.2959,0.9,7.028,58329.312,7.107,81238.662,,
47,20191118,600755.SH,6.95,7.01,6.93,6.98,6.95,0.03000000000000025,0.4317,48666.83,33961.161,0.2631,0.56,7.026,60833.992,7.132,85713.492,,
48,20191115,600755.SH,7.07,7.08,6.95,6.95,7.07,-0.1200000000000001,-1.6973,91968.33,64376.644,0.4971,0.96,7.042,86551.892,7.161,91019.188,,
49,20191114,600755.SH,7.07,7.09,7.04,7.07,7.07,0.0,0.0,48590.13,34336.62,0.2675,0.49,7.112,96107.496,7.195,91802.759,,
50,20191113,600755.SH,7.07,7.11,7.02,7.07,7.06,0.010000000000000675,0.1416,47685.36,33652.271,0.2625,0.46,7.15,99029.68,7.213,94821.817,,
51,20191112,600755.SH,7.07,7.09,7.0,7.06,7.06,0.0,0.0,67259.31,47426.937,0.3703,0.61,7.186,104148.012,,,,
52,20191111,600755.SH,7.26,7.27,7.05,7.06,7.3,-0.2400000000000002,-3.2877,177256.33,126564.485,0.9759,1.86,7.238,110592.992,,,,
53,20191108,600755.SH,7.31,7.4,7.28,7.3,7.26,0.040000000000000036,0.551,139746.35,102603.264,0.7694,1.6,7.28,95486.484,,,,
54,20191107,600755.SH,7.25,7.3,7.23,7.26,7.25,0.009999999999999787,0.1379,63201.05,45932.644,0.348,0.7,7.278,87498.022,,,,
55,20191106,600755.SH,7.3,7.34,7.24,7.25,7.32,-0.07000000000000028,-0.9563,73277.02,53418.31,0.4034,0.77,7.276,90613.954,,,,
56,20191105,600755.SH,7.28,7.37,7.25,7.32,7.27,0.05000000000000071,0.6878,99484.21,72801.409,0.5477,1.05,,,,,,
57,20191104,600755.SH,7.31,7.35,7.27,7.27,7.29,-0.020000000000000462,-0.2743,101723.79,74288.021,0.5601,0.97,,,,,,
58,20191101,600755.SH,7.22,7.33,7.21,7.29,7.25,0.040000000000000036,0.5517,99804.04,72544.989,0.5495,1.01,,,,,,
59,20191031,600755.SH,7.3,7.32,7.24,7.25,7.3,-0.04999999999999982,-0.6849,78780.71,57314.099,0.4337,0.78,,,,,,
