,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,300261.SZ,4.3,4.3,4.08,4.12,4.31,-0.1899999999999995,-4.4084,102962.88,43016.728,1.1092,1.67,4.338,74268.554,4.441,84094.161,4.419,91610.319
1,20200122,300261.SZ,4.35,4.36,4.23,4.31,4.35,-0.040000000000000036,-0.9195,75449.0,32384.699,0.8128,1.22,4.416,61720.284,4.488,86516.635,4.429,89821.28
2,20200121,300261.SZ,4.4,4.42,4.32,4.35,4.43,-0.08000000000000007,-1.8059,76435.98,33364.183,0.8234,1.12,4.476,61832.254,4.509,93646.462,4.4325,92016.194
3,20200120,300261.SZ,4.45,4.49,4.39,4.43,4.48,-0.05000000000000071,-1.1161,70436.11,31192.042,0.7588,1.03,4.53,68194.248,4.525,98794.838,4.43,94099.7025
4,20200117,300261.SZ,4.52,4.55,4.45,4.48,4.51,-0.02999999999999936,-0.6652,46058.8,20711.504,0.4962,0.49,4.55,68164.506,4.532,108712.602,4.429,98407.555
5,20200116,300261.SZ,4.62,4.63,4.51,4.51,4.61,-0.10000000000000053,-2.1692,40221.53,18269.627,0.4333,0.36,4.544,93919.768,4.522,110330.145,4.4325,103749.993
6,20200115,300261.SZ,4.63,4.66,4.56,4.61,4.62,-0.009999999999999787,-0.2165,76008.85,34938.615,0.8188,0.61,4.56,111312.986,4.508,119874.71,4.4345,113226.171
7,20200114,300261.SZ,4.54,4.65,4.51,4.62,4.53,0.08999999999999986,1.9868,108245.95,49730.165,1.1661,0.84,4.542,125460.67,4.476,118456.278,4.441,121322.6155
8,20200113,300261.SZ,4.44,4.53,4.41,4.53,4.45,0.08000000000000007,1.7978,70287.4,31546.024,0.7572,0.47,4.52,129395.428,4.439,112143.718,4.435,130978.6485
9,20200110,300261.SZ,4.58,4.58,4.39,4.45,4.59,-0.13999999999999968,-3.0501,174835.11,77946.819,1.8834,1.38,4.514,149260.698,4.413,110826.178,4.417,130327.8975
10,20200109,300261.SZ,4.57,4.61,4.5,4.59,4.52,0.07000000000000028,1.5487,127187.62,57942.23,1.3702,0.99,4.5,126740.522,4.397,99126.477,4.403,123782.667
11,20200108,300261.SZ,4.52,4.66,4.5,4.52,4.51,0.009999999999999787,0.2217,146747.27,67134.332,1.5809,1.32,4.456,128436.434,4.37,93125.925,4.3845,120535.136
12,20200107,300261.SZ,4.49,4.57,4.42,4.51,4.5,0.009999999999999787,0.2222,127919.74,57769.073,1.378,1.35,4.41,111451.886,4.356,90385.926,4.371,117306.6845
13,20200106,300261.SZ,4.37,4.51,4.34,4.5,4.38,0.1200000000000001,2.7397,169613.75,75686.239,1.8272,2.34,4.358,94892.008,4.335,89404.567,4.353,114706.6415
14,20200103,300261.SZ,4.38,4.41,4.34,4.38,4.37,0.009999999999999787,0.2288,62234.23,27216.021,0.6704,0.87,4.312,72391.658,4.326,88102.508,4.332,109344.304
15,20200102,300261.SZ,4.31,4.44,4.3,4.37,4.29,0.08000000000000007,1.8648,135667.18,59284.533,1.4615,2.35,4.294,71512.432,4.343,97169.841,4.3195,111974.3235
16,20191231,300261.SZ,4.25,4.32,4.22,4.29,4.25,0.040000000000000036,0.9412,61824.53,26495.462,0.666,0.89,4.284,57815.416,4.361,106577.632,4.303,106780.585
17,20191230,300261.SZ,4.27,4.27,4.17,4.25,4.27,-0.019999999999999574,-0.4684,45120.35,19040.326,0.4861,0.54,4.302,69319.966,4.406,124188.953,4.289,105247.11
18,20191227,300261.SZ,4.29,4.32,4.26,4.27,4.29,-0.020000000000000462,-0.4662,57112.0,24477.841,0.6152,0.55,4.312,83917.126,4.431,149813.579,4.278,104526.0165
19,20191226,300261.SZ,4.3,4.34,4.24,4.29,4.32,-0.03000000000000025,-0.6944,57838.1,24801.422,0.6231,0.47,4.34,103813.358,4.421,149829.617,4.2665,102797.3405
20,20191225,300261.SZ,4.39,4.39,4.27,4.32,4.38,-0.05999999999999961,-1.3699,67182.1,29009.866,0.7237,0.43,4.392,122827.25,4.409,148438.857,4.2535,100942.3855
21,20191224,300261.SZ,4.31,4.38,4.23,4.38,4.3,0.08000000000000007,1.8605,119347.28,51171.438,1.2857,0.67,4.438,155339.848,4.399,147944.347,4.2385,98480.784
22,20191223,300261.SZ,4.43,4.45,4.25,4.3,4.41,-0.11000000000000032,-2.4943,118106.15,51104.566,1.2723,0.55,4.51,179057.94,4.386,144227.443,4.2215,93580.3875
