,trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma20,ma_v_20
0,20200123,600072.SH,13.83,14.26,13.58,13.72,13.86,-0.1399999999999988,-1.0101,148733.29,206853.685,2.0201,1.38,13.98,108246.158,14.109,129949.375,13.9895,164793.9
1,20200122,600072.SH,14.05,14.09,13.54,13.86,14.03,-0.16999999999999993,-1.2117,106078.78,146637.2,1.4408,0.97,14.06,108025.518,14.194,151905.068,13.9815,160587.282
2,20200121,600072.SH,14.29,14.3,14.02,14.03,14.28,-0.25,-1.7507,90135.63,127086.095,1.2243,0.73,14.102,108816.02,14.333,204480.967,13.9685,158468.141
3,20200120,600072.SH,14.01,14.28,14.0,14.28,14.01,0.2699999999999996,1.9272,109948.61,156234.285,1.4934,0.86,14.17,122949.862,14.316,209110.491,13.9395,158564.0015
4,20200117,600072.SH,14.12,14.2,13.97,14.01,14.12,-0.10999999999999943,-0.779,86334.48,121468.244,1.1726,0.57,14.174,127996.292,14.269,217926.725,13.911,161268.3065
5,20200116,600072.SH,14.16,14.45,14.07,14.12,14.07,0.049999999999998934,0.3554,147630.09,210352.188,2.0052,0.75,14.238,151652.592,14.254,227797.278,13.907,164975.283
6,20200115,600072.SH,14.29,14.3,14.05,14.07,14.37,-0.29999999999999893,-2.0877,110031.29,155580.786,1.4945,0.37,14.328,195784.618,14.212,227757.453,13.908,174687.8655
7,20200114,600072.SH,14.35,14.43,14.12,14.37,14.3,0.06999999999999851,0.4895,160804.84,229418.916,2.1841,0.54,14.564,300145.914,14.143,224234.598,13.915,181861.079
8,20200113,600072.SH,14.5,14.5,14.08,14.3,14.33,-0.02999999999999936,-0.2094,135180.76,192460.285,1.8361,0.44,14.462,295271.12,14.041,215306.783,13.906,185073.9025
9,20200110,600072.SH,14.59,14.69,14.19,14.33,14.57,-0.2400000000000002,-1.6472,204615.98,293965.522,2.7792,0.67,14.364,307857.158,13.953,211721.962,13.8795,186358.979
10,20200109,600072.SH,14.55,14.79,14.43,14.57,15.25,-0.6799999999999997,-4.459,368290.22,538279.118,5.0022,1.42,14.27,303941.964,13.87,199638.425,13.8455,185661.021
11,20200108,600072.SH,13.99,15.25,13.86,15.25,13.86,1.3900000000000006,10.0289,631837.77,919170.469,8.5818,4.26,14.096,259730.288,13.769,169269.496,13.7835,172105.2175
12,20200107,600072.SH,13.74,13.86,13.66,13.86,13.81,0.049999999999998934,0.3621,136430.87,187903.333,1.8531,1.01,13.722,148323.282,13.604,112455.315,13.6835,145385.3235
13,20200106,600072.SH,14.16,14.16,13.7,13.81,13.86,-0.049999999999998934,-0.3608,198110.95,275937.95,2.6908,1.71,13.62,135342.446,13.563,108017.512,13.6595,141848.5485
14,20200103,600072.SH,13.76,13.95,13.62,13.86,13.7,0.16000000000000014,1.1679,185040.01,255318.144,2.5133,1.94,13.542,115586.766,13.553,104609.888,13.6405,137965.843
15,20200102,600072.SH,13.58,13.73,13.45,13.7,13.38,0.3199999999999985,2.3916,147231.84,200383.398,1.9998,1.87,13.47,95334.886,13.56,102153.288,13.6145,132116.119
16,20191231,600072.SH,13.3,13.44,13.25,13.38,13.35,0.030000000000001137,0.2247,74802.74,99881.865,1.016,0.98,13.442,78808.704,13.604,121618.278,13.5945,127614.9155
17,20191230,600072.SH,13.43,13.44,13.14,13.35,13.42,-0.07000000000000028,-0.5216,71526.69,95035.006,0.9715,0.89,13.486,76587.348,13.687,139487.56,13.591,127121.7
18,20191227,600072.SH,13.47,13.55,13.31,13.42,13.5,-0.08000000000000007,-0.5926,99332.55,133656.699,1.3492,1.06,13.506,80692.578,13.771,154841.022,13.588,126912.899
19,20191226,600072.SH,13.59,13.62,13.35,13.5,13.56,-0.0600000000000005,-0.4425,83780.61,112718.375,1.1379,0.77,13.564,93633.01,13.806,160995.996,13.589,125403.558
20,20191225,600072.SH,13.62,13.64,13.5,13.56,13.6,-0.03999999999999915,-0.2941,64600.93,87575.682,0.8774,0.39,13.65,108971.69,13.821,171683.617,13.584,124831.6755
